neuron_id,source,group,exclusive,n_points,n_points_within_10um,frac_points_within_10um,n_points_within_20um,frac_points_within_20um
Gad1-F-700193,FC,dense,True,1604,10,0.006234413965087282,23,0.014339152119700748
Gad1-F-700607,FC,dense,True,3138,11,0.003505417463352454,23,0.007329509241555131
Gad1-F-800371,FC,dense,True,3571,29,0.008120974516942034,53,0.014841781013721647
Gad1-F-900395,FC,dense,True,6286,15,0.0023862551702195354,30,0.004772510340439071
TH-F-000009,FC,dense,True,13672,11,0.0008045640725570509,23,0.0016822703335283792
TH-F-000010,FC,dense,True,5117,21,0.004103967168262654,78,0.015243306624975571
TH-F-000012,FC,dense,True,17749,15,0.000845118034818863,26,0.001464871260352696
TH-F-000019,FC,dense,True,8677,12,0.0013829664630632707,28,0.0032269217471476317
TH-F-000036,FC,dense,True,5304,11,0.0020739064856711916,25,0.00471342383107089
TH-F-000046,FC,dense,True,6183,12,0.0019408054342552159,24,0.0038816108685104317
TH-F-000079,FC,dense,True,18526,11,0.0005937601209111519,23,0.0012414984346324086
TH-F-000091,FC,dense,True,5947,11,0.0018496721035816377,22,0.0036993442071632755
TH-F-100005,FC,dense,True,18963,11,0.000580076992037125,23,0.0012128882560776249
TH-F-100036,FC,dense,True,5060,12,0.0023715415019762848,43,0.00849802371541502
TH-F-100050,FC,dense,True,6215,12,0.0019308125502815769,40,0.006436041834271922
TH-F-100075,FC,dense,True,4639,11,0.002371200689803837,34,0.007329165768484587
TH-F-100083,FC,dense,False,4548,11,0.002418645558487247,24,0.005277044854881266
TH-F-100095,FC,dense,True,4719,12,0.0025429116338207248,25,0.005297732570459843
TH-F-100099,FC,dense,False,4381,12,0.0027391006619493265,28,0.006391234877881762
TH-F-200004,FC,dense,True,4874,14,0.002872384078785392,26,0.005334427574887156
TH-F-200010,FC,dense,True,6935,12,0.0017303532804614275,23,0.0033165104542177363
TH-F-200026,FC,dense,True,6014,14,0.002327901563019621,26,0.004323245759893582
TH-F-200034,FC,dense,True,6088,12,0.0019710906701708277,26,0.0042706964520367935
TH-F-200037,FC,dense,True,5220,12,0.0022988505747126436,23,0.004406130268199234
TH-F-200064,FC,dense,True,5762,10,0.0017355085039916696,21,0.003644567858382506
TH-F-200081,FC,dense,False,5979,13,0.0021742766348887776,29,0.00485030941629035
TH-F-200085,FC,dense,True,6174,13,0.002105604146420473,24,0.003887269193391642
TH-F-200096,FC,dense,True,4731,11,0.0023250898330162756,23,0.004861551469034031
TH-F-200106,FC,dense,True,3889,11,0.00282849061455387,22,0.00565698122910774
TH-F-300037,FC,dense,True,6017,12,0.0019943493435266744,25,0.0041548944656805715
TH-F-300046,FC,dense,True,8003,11,0.0013744845682868924,23,0.0028739222791453207
TH-F-300062,FC,dense,True,5989,12,0.0020036734012355987,22,0.0036734012355985972
TH-F-300078,FC,dense,True,10334,11,0.001064447455002903,22,0.002128894910005806
TH-F-700015,FC,dense,True,4827,13,0.0026931841723637872,26,0.0053863683447275745
TH-M-000008,FC,dense,True,7144,12,0.0016797312430011197,25,0.0034994400895856665
TH-M-000021,FC,dense,True,7121,12,0.0016851565791321443,25,0.0035107428731919674
TH-M-000029,FC,dense,True,7375,11,0.0014915254237288136,22,0.002983050847457627
TH-M-000030,FC,dense,True,15400,13,0.0008441558441558442,30,0.001948051948051948
TH-M-000032,FC,dense,True,7957,17,0.002136483599346487,30,0.0037702651753173306
TH-M-000045,FC,dense,True,5249,13,0.0024766622213755,24,0.004572299485616308
TH-M-100016,FC,dense,True,4585,12,0.0026172300981461287,26,0.0056706652126499455
TH-M-100027,FC,dense,True,11552,12,0.001038781163434903,27,0.0023372576177285317
TH-M-100057,FC,dense,True,5749,12,0.0020873195338319706,22,0.0038267524786919464
