neuron_id,group,region_1,region_2,vox_1,vox_2,vox_neuropil,vox_total,vox_other,other_frac,share_1_total,share_2_total,share_12_total,side_1,side_2,side_share_1_total,side_share_2_total,top2_sides_same_region,region_pair
TH-F-200106,dense,fb_6,ms_12,28792.0,21052.0,98511.0,130372.0,31861.0,0.24438529745650905,0.22084496671064338,0.16147639063602615,0.38232135734666955,ms_12_r,fb_6_r,0.16147639063602615,0.1185760746172491,False,fb_6 + ms_12
TH-F-300037,dense,dfp_5,mb_4,62872.0,27656.0,119600.0,142782.0,23182.0,0.16235940104494964,0.44033561653429704,0.19369388298244877,0.6340294995167458,dfp_5_r,mb_4_l,0.4180849126640613,0.09924920508187307,False,dfp_5 + mb_4
TH-F-300046,dense,fb_6,ms_12,64105.0,39549.0,190631.0,231909.0,41278.0,0.17799222971079173,0.2764230797424852,0.17053671914414706,0.44695979888663223,ms_12_r,dfp_5_r,0.17053671914414706,0.14020585660754864,False,fb_6 + ms_12
TH-F-300062,dense,dmp_10,vmp_15,69555.0,18546.0,123418.0,142258.0,18840.0,0.13243543421108128,0.48893559588915914,0.13036876660715038,0.6193043624963095,dmp_10_r,vmp_15_r,0.48893559588915914,0.13036876660715038,False,dmp_10 + vmp_15
TH-F-300078,dense,lh_25,dmp_10,45889.0,20057.0,155539.0,194187.0,38648.0,0.19902465149572318,0.23631345043694996,0.10328703775226972,0.3396004881892197,lh_25_r,dmp_10_r,0.23631345043694996,0.10328703775226972,False,dmp_10 + lh_25
TH-F-700015,dense,fb_6,dmp_10,19165.0,8467.0,53361.0,62822.0,9461.0,0.1506001082423355,0.30506828817930026,0.1347776256725351,0.43984591385183536,fb_6_r,fb_6_l,0.15625099487440705,0.14881729330489318,True,dmp_10 + fb_6
TH-M-000008,dense,fb_6,dfp_5,73976.0,14269.0,117975.0,156610.0,38635.0,0.24669561330694081,0.4723580869676266,0.09111167869229296,0.5634697656599196,fb_6_r,fb_6_l,0.25613945469637955,0.21621863227124705,True,dfp_5 + fb_6
TH-M-000021,dense,dfp_5,fspp_19,102397.0,6072.0,116855.0,135704.0,18849.0,0.1388978954194423,0.7545613983375582,0.04474444378942404,0.7993058421269823,dfp_5_l,fspp_19_l,0.7545613983375582,0.04474444378942404,False,dfp_5 + fspp_19
TH-M-000029,dense,dfp_5,fspp_19,102971.0,9006.0,128978.0,154447.0,25469.0,0.16490446560956185,0.6667076731823862,0.05831126535316322,0.7250189385355494,dfp_5_r,fspp_19_r,0.6667076731823862,0.05831126535316322,False,dfp_5 + fspp_19
TH-M-000030,dense,lh_25,dlp_23,52219.0,51322.0,187996.0,230844.0,42848.0,0.1856145275597373,0.2262090416038537,0.22232330058394414,0.4485323421877978,lh_25_r,dlp_23_r,0.2262090416038537,0.22232330058394414,False,dlp_23 + lh_25
TH-M-000032,dense,dfp_5,mb_4,111727.0,10632.0,135852.0,167746.0,31894.0,0.1901327006307155,0.666048668820717,0.06338154113958008,0.7294302099602972,dfp_5_r,mb_4_r,0.666048668820717,0.06338154113958008,False,dfp_5 + mb_4
TH-M-000045,dense,dfp_5,mb_4,52144.0,32068.0,101374.0,139387.0,38013.0,0.2727155330124043,0.37409514517135745,0.2300644966890743,0.6041596418604317,dfp_5_r,mb_4_r,0.3653138384497837,0.13385035907222337,False,dfp_5 + mb_4
TH-M-100016,dense,dfp_5,mb_4,48766.0,31346.0,98361.0,130191.0,31830.0,0.24448694610226512,0.3745727431235646,0.24076933121337113,0.6153420743369358,dfp_5_r,mb_4_r,0.35365731886228696,0.15608605817606439,False,dfp_5 + mb_4
TH-M-100027,dense,vlp_21,dmp_10,112787.0,16291.0,151208.0,172718.0,21510.0,0.1245382646857884,0.6530124248775461,0.09432137935826028,0.7473338042358063,vlp_21_r,dmp_10_r,0.6530124248775461,0.09432137935826028,False,dmp_10 + vlp_21
TH-M-100057,dense,eb_8,ms_12,45776.0,28222.0,124232.0,210832.0,86600.0,0.41075358579342797,0.21712074068452608,0.13386013508385824,0.3509808757683843,ms_12_r,eb_8_r,0.12205452682704712,0.1087690673142597,False,eb_8 + ms_12
TH-M-100063,dense,eb_8,ms_12,36455.0,16663.0,72367.0,119548.0,47181.0,0.3946615585371566,0.3049402750359688,0.13938334392879848,0.4443236189647673,eb_8_r,ms_12_r,0.17129521196506842,0.13888145347475492,False,eb_8 + ms_12
TH-M-200010,dense,dfp_5,mb_4,69411.0,6401.0,80759.0,98648.0,17889.0,0.1813417403292515,0.7036229827264617,0.06488727597112967,0.7685102586975915,dfp_5_r,dfp_5_l,0.5708782742681048,0.13274470845835698,True,dfp_5 + mb_4
TH-M-200013,dense,cmp_13,ms_12,32126.0,28867.0,88620.0,124113.0,35493.0,0.28597326629764813,0.2588447624342333,0.2325864333309162,0.4914311957651495,cmp_13_r,ms_12_r,0.2588447624342333,0.2325864333309162,False,cmp_13 + ms_12
TH-M-200034,dense,vlp_21,dmp_10,178111.0,29482.0,238188.0,277836.0,39648.0,0.14270288947436618,0.6410652327272204,0.10611295872385149,0.7471781914510719,vlp_21_r,dmp_10_r,0.6410652327272204,0.10611295872385149,False,dmp_10 + vlp_21
TH-M-200035,dense,dlp_23,spp_20,46685.0,34103.0,116115.0,151919.0,35804.0,0.2356782232637129,0.3073019174691777,0.22448146709759806,0.5317833845667758,dlp_23_r,spp_20_r,0.3073019174691777,0.22448146709759806,False,dlp_23 + spp_20
TH-M-200049,dense,dfp_5,mb_4,50387.0,23404.0,87339.0,114377.0,27038.0,0.23639368054766255,0.4405343731694309,0.20462155853012406,0.645155931699555,dfp_5_r,mb_4_r,0.3977023352597113,0.14200407424569625,False,dfp_5 + mb_4
