fc_id,em_id,conf,group,nblast_official
Gad1-F-900194,1448929233,0.0,D1_projection,-0.6329073360729531
Gad1-F-900194,1193560072,0.0,D1_projection,-0.8789543492798808
TH-F-000101,331662710,1.0,D1_projection,0.389378180727491
TH-F-000101,421641859,0.0,D1_projection,-0.0075047343863395705
TH-F-100083,331662710,1.0,D1_projection,0.31249304504897635
TH-F-100083,329970706,0.0,D1_projection,-0.11855525359614225
TH-F-100099,331662710,1.0,D1_projection,0.34837359812143565
TH-F-100099,329970706,0.4,D1_projection,-0.10744434162866483
TH-F-200030,328943204,0.4,D1_projection,0.27582549667040235
TH-F-200030,203253253,0.4,D1_projection,-0.050255030183635196
TH-F-200033,517514142,0.8,D1_projection,0.32892471204605267
TH-F-200033,608922563,0.0,D1_projection,0.257518916387218
TH-F-200081,331662710,1.0,D1_projection,0.3207124758996531
TH-F-200081,330268940,0.0,D1_projection,0.10638940397906119
TH-F-300020,484911954,0.0,D1_projection,-0.16357821421364566
TH-F-300020,1048172314,0.0,D1_projection,-0.35566474185470276
TH-F-300073,328943204,0.6,D1_projection,0.2607975253018051
TH-F-300073,361040812,0.0,D1_projection,-0.060071649611586814
TH-F-700001,418969956,0.0,D1_projection,-0.7204792631740284
TH-F-700001,297166053,0.0,D1_projection,-0.525868251513729
TH-F-700004,643830129,0.0,D1_projection,-0.6388884690126369
TH-F-700004,5813089803,0.0,D1_projection,-0.6663342470920484
TH-F-700016,5812982779,0.7,D1_projection,0.3683113308176248
TH-F-700016,5813089803,0.0,D1_projection,-0.6625872509646294
TH-F-700022,946645313,0.0,D1_projection,-0.5694746194111477
TH-F-700022,981362334,0.6,D1_projection,-0.30042714902196294
TH-M-300021,517514142,0.8,D1_projection,0.23355976228031755
TH-M-300021,5813049380,0.4,D1_projection,0.20819039695338115
TH-M-500003,580287695,0.0,D1_projection,-0.24030630304638106
TH-M-500003,456156825,0.0,D1_projection,-0.21219133214274838
TH-M-600002,1224258912,0.0,D1_projection,-0.8342471935648439
TH-M-600002,1193560072,0.0,D1_projection,-0.8286634360374321
TH-M-600003,1224595289,0.0,D1_projection,-0.862565092578506
TH-M-600003,1224258912,0.0,D1_projection,-0.8635512395566995
TH-M-700002,1224595289,0.0,D1_projection,-0.7365642029595043
TH-M-700002,1224945418,0.0,D1_projection,-0.7459406130358567
TH-M-700013,5812979156,0.6,D1_projection,0.27405369764586607
TH-M-700013,644417074,0.7,D1_projection,0.22079928049120717
TH-M-700017,604864392,0.0,D1_projection,-0.8330168590010211
TH-M-700017,454439022,0.0,D1_projection,-0.3712002350224345
Trh-M-000099,1602402027,0.5,D1_projection,-0.5386049158917516
Trh-M-000099,986828383,0.6,D1_projection,0.2082223701920422
Trh-M-800009,1048215779,1.0,D1_projection,0.4211815754709115
Trh-M-800009,1016835041,1.0,D1_projection,0.41435897665636956
VGlut-F-200594,5813058048,0.9,D1_projection,0.4787787158971847
VGlut-F-200594,328632707,0.0,D1_projection,-0.5969938577201019
VGlut-F-300680,5813020585,0.6,D1_projection,0.5705426138128582
VGlut-F-300680,1322474586,0.6,D1_projection,0.5566550668575216
VGlut-F-800070,894551935,0.7,D1_projection,0.30432746041657954
VGlut-F-800070,832357089,0.0,D1_projection,0.16172399329520715
VT0765-F-700001,613079053,0.3,D1_projection,-0.1452508342688097
VT0765-F-700001,486544396,0.0,D1_projection,-0.3313773095743706
VT16811-F-700000,1078693835,0.0,D1_projection,0.3413856964435297
VT16811-F-700000,1729935421,0.0,D1_projection,-0.4961696706655676
