fc_id,em_id,group
VGlut-F-800130,1640922754,dense
Cha-F-000088,1640909284,dense
Cha-F-400237,1135441187,dense
Trh-M-200043,1671620613,dense
Trh-F-100001,5813062858,dense
Cha-F-000088,1699974843,dense
Cha-F-000088,1704347707,dense
VGlut-F-400757,1640922516,dense
VGlut-F-200392,792326206,dense
Cha-F-000088,5813055277,dense
Cha-F-000088,5813056598,dense
Cha-F-200299,1135441187,dense
VGlut-F-500876,1640922516,dense
VGlut-F-400898,1640922516,dense
VGlut-F-500876,1667251683,dense
Trh-M-100024,5813049824,dense
Trh-M-500163,862671913,dense
VGlut-F-400186,1640922516,dense
VGlut-F-500335,1640922516,dense
Trh-M-100024,5813020684,dense
VGlut-F-700541,1640922516,dense
TH-F-200026,330640044,dense
Trh-M-300140,1008024276,dense
Trh-M-400023,953414780,dense
Trh-M-100024,5813055834,dense
VGlut-F-500876,1669924220,dense
Trh-M-100024,946308203,dense
TH-F-000012,328533761,dense
TH-F-100036,5812980529,dense
Trh-M-500163,953410147,dense
Trh-M-500163,768555687,dense
VGlut-F-800130,1671257931,dense
VGlut-F-200319,5813055865,dense
TH-M-000029,5813021602,dense
VGlut-F-800130,2135408892,dense
VGlut-F-800130,5813132949,dense
Trh-M-400110,953414780,dense
Trh-M-500163,672006007,dense
TH-F-000019,5813021602,dense
Trh-F-400055,1070426862,dense
TH-F-300062,1262360335,dense
Trh-M-500163,891663788,dense
VGlut-F-000463,1037293275,dense
Trh-M-400110,1008024276,dense
Trh-F-300112,953414780,dense
Trh-F-400055,1008024276,dense
Trh-F-300112,922069357,dense
Trh-F-300112,1008024276,dense
Trh-M-400023,988567837,dense
TH-M-100063,1449247522,dense
VGlut-F-400898,1668944259,dense
Trh-M-400052,1008024276,dense
VGlut-F-800130,1640555311,dense
Trh-F-400055,953414780,dense
Trh-F-300112,5813053851,dense
Trh-M-400131,1008024276,dense
Trh-M-400110,957506896,dense
fru-F-000094,298603730,dense
Cha-F-000239,1733677514,dense
TH-F-000036,5813011298,dense
VGlut-F-400757,5901196806,dense
TH-M-000030,328533761,dense
Cha-F-000239,1037293275,dense
VGlut-F-000177,672283773,dense
Trh-M-400110,1070426862,dense
VGlut-F-400049,297251714,dense
VGlut-F-400186,1700644008,dense
TH-M-300005,1289359184,dense
VGlut-F-500876,5813034455,dense
TH-F-100050,1289359184,dense
