neuron_id,source,group,exclusive,cable_length_um,n_nodes,n_branch_points,n_tips,branch_per_100um,span_um,radius_gyration_um,hull_volume_um3,hull_area_um2,occupied_volume_um3,n_voxels,fill_ratio,cable_per_occupied_um2,cable_per_hull_um2,cable_per_rg,cable_per_span,local_density_r5,local_density_r10,revisit_r4um,revisit_r8um,revisit_r16um,overdraw_2d_mean,overdraw_2d_max,elongation,flatness,arbor_separation,arbor_balance,arbor_centroid_dist_um,bridge_fraction
5813020996,EM,dense,True,13635.585404688336,37721,2912,2951,21.355885453944385,254.7223046239076,78.48871471650011,2199234.9906945243,95129.94177191895,58360.0,7295,0.026536500304394372,0.23364608301385087,0.006200149353017606,173.7267001242132,53.53117947335239,87.0,363.0,1.137056821605098,1.737459913951113,2.9694219086864844,2.233177079156677,2.786184185673955,0.45868191209773523,0.31894212592519383,2.9447502688941407,0.9528737784970222,129.86041708657126,0.18906354544195975
5813021112,EM,dense,True,13076.178321190964,30771,2051,2077,15.685010938373294,266.8775242693246,64.17515473324518,2393784.9637713097,106140.40298156111,59248.0,7406,0.024750761198974704,0.22070244263419803,0.0054625534536694486,203.75764383497474,48.996926050598724,55.0,199.0,0.9720620220926973,1.3086647639302407,2.208813905606582,1.9325345802330691,2.100928393507546,0.7107942230931151,0.40249808020684447,1.9089423559847787,0.5269283389626529,90.70139040977706,0.20652972018274396
5813021533,EM,dense,True,8918.24405577985,23925,1859,1895,20.844910594201504,218.03453108005462,56.29052002319049,1070086.6650393785,62824.98919431646,39384.0,4923,0.03680449564199615,0.22644332865579553,0.00833413250267133,158.43243324285734,40.90289740621583,69.0,253.0,1.0213289115643438,1.4219139119546955,2.533592061301094,1.9744387555848828,2.221784767259554,0.5656460644673236,0.3095465010888508,2.0804246043121597,0.4639856690307492,84.23953207762261,0.35852709947846445
5813021583,EM,dense,True,11941.985358768654,28814,1673,1686,14.009395839457838,349.32657601359375,69.94220313635797,2145039.9185446617,109884.63925899661,54800.0,6850,0.025547310111216942,0.2179194408534426,0.005567255534745896,170.74076627936338,34.18573386269913,55.0,198.0,0.957810824411987,1.289074412647739,2.221351443223336,1.8751586672559972,2.1401407452990417,0.676102879245358,0.3085069873593304,3.007636794124826,0.05453452093642091,175.99651087279372,0.30089364333316637
5813021602,EM,dense,True,11254.008839285862,33528,2346,2386,20.845905077046915,237.80414831633357,47.209672608906246,1050761.1794319765,59923.355416991995,47584.0,5948,0.045285266463425206,0.23650825570119918,0.010710339380228707,238.38353916402207,47.324695212278094,106.0,502.0,1.1856309354494166,1.8958909769686425,3.6825945154731223,2.3452274932955812,2.6093227079262373,0.6196233012776695,0.40799393360336,1.6600334983868625,0.6085041264589591,61.303375146803184,0.1479106611596518
5813021943,EM,dense,True,6091.8925918312125,12625,886,896,14.543920245541786,244.2360008880744,69.69942494193704,1436898.7980316922,77463.83996849855,27432.0,3429,0.01909111486318813,0.222072491682386,0.004239611446662822,87.40233648851552,24.942647970324956,47.0,151.5,0.979403953670613,1.2381895511852057,1.813063271378337,1.6940536159836437,1.921126645169099,0.47251989620433654,0.3059711496961582,2.1997799669115885,0.9557518204695911,103.1565817331023,0.34135750930863135
5813023322,EM,dense,True,9970.790216799802,24204,2247,2282,22.5358266611008,222.69322312318715,49.420719289160935,1407081.4900287287,70927.0178331815,43344.0,5418,0.030804186045482723,0.23003853397932358,0.007086149798329182,201.75323953624888,44.77365802588551,71.0,268.0,1.0571236446988763,1.5273882072303617,2.564503656584311,2.0559937354046878,2.23110096594312,0.7603087811501078,0.47797222782582455,1.4989563522572786,0.8284048947734237,59.43579215487026,0.29890205560790023
5813024692,EM,dense,True,7122.441869968514,11737,681,711,9.561327595686091,267.3942978183526,73.0593435393976,1551742.811047646,78764.91927324132,32936.0,4117,0.021225166803101565,0.21625096763324367,0.004589962859347715,97.48844603466362,26.636476275223195,39.0,172.0,0.9805123719670311,1.4336638224574303,2.3185032128803758,1.9263779255282258,2.155702745147855,0.4259839870207562,0.3129361037022602,4.0842597651794215,0.21484861603952485,161.15554298546868,0.41776520814792834
5813027276,EM,dense,True,28337.45732385649,74394,6842,6956,24.144720967042858,137.38614997288335,43.60226705317462,980909.6062141747,55203.582612394806,113904.0,14238,0.11612079163911243,0.2487836891053562,0.02888895892581279,649.9078887182147,206.26138318491064,127.0,724.5,1.3842056137092855,2.706021516793019,6.258272377176787,3.648711445234813,4.152616841127856,0.9108933837940179,0.6655067109248978,1.2553045883821983,0.6841757870072076,47.030087849470256,0.09435290865421947
5813027592,EM,dense,True,10912.170779919357,35290,2846,2898,26.08097011492183,162.61503939048092,45.291346686068465,690255.871654383,43725.1852670691,43072.0,5384,0.062400048690301496,0.2533472042143239,0.015808877878525564,240.93279574033778,67.10431471050106,148.0,692.0,1.3633396776510942,2.3722110391129037,4.262566710905999,2.530685091335256,2.5585394560186066,0.6924441754425696,0.3678973737691197,1.963264562840472,0.4790298379572777,65.55219877775669,0.1810580769129469
