fc_id,em_id,group,label,score,em_density,em_cable_in_query_hull_um,query_hull_um3,eff_density,orphan_fwd
TH-M-600002,1224258912,projection,0,-0.8342471935648439,0.0091179727043628,0.0,306962.45112113,0.0,1.0
TH-M-600002,1193560072,projection,0,-0.8286634360374321,0.0112084219088481,0.0,306962.45112113,0.0,1.0
TH-M-600003,1224595289,projection,0,-0.862565092578506,0.0243912700322834,0.0,246672.1501205063,0.0,1.0
TH-M-600003,1224258912,projection,0,-0.8635512395566995,0.0091179727043628,0.0,246672.1501205063,0.0,1.0
TH-M-700002,1224595289,projection,0,-0.7365642029595043,0.0243912700322834,0.0,316141.5782089981,0.0,1.0
TH-M-700002,1224945418,projection,0,-0.7459406130358567,0.0082173427940821,0.0,316141.5782089981,0.0,1.0
TH-M-700013,5812979156,projection,1,0.274053697645866,0.0099616573310813,5632.0,312228.94222552114,0.01803804592827285,0.3398328690807799
TH-M-700013,644417074,projection,1,0.2207992804912071,0.008573344622952,4538.0,312228.94222552114,0.014534206751154508,0.4406685236768802
TH-M-700017,604864392,projection,0,-0.8330168590010211,0.0066912735414337,0.0,358308.6428221378,0.0,1.0
TH-M-700017,454439022,projection,0,-0.3712002350224345,0.0053713235686934,480.0,358308.6428221378,0.0013396271890607702,0.8769816106531388
Trh-M-000099,1602402027,projection,1,-0.5386049158917516,0.0042677208948495,183.0,401118.4318953638,0.00045622436030996847,0.9995359628770302
Trh-M-000099,986828383,projection,1,0.2082223701920422,0.0068250225452062,1658.0,401118.4318953638,0.004133442564994141,0.47424593967517403
Trh-M-800009,1048215779,projection,1,0.4211815754709115,0.016002091438961,5037.0,489804.323757003,0.010283698521409762,0.15537321334039175
Trh-M-800009,1016835041,projection,1,0.4143589766563695,0.0121734667728503,4760.0,489804.323757003,0.009718166559839283,0.18157755426151403
VGlut-F-200594,5813058048,projection,1,0.4787787158971847,0.0072046617466692,25553.0,1188598.2179712786,0.021498433712625224,0.13865713150576084
VGlut-F-200594,328632707,projection,0,-0.5969938577201019,0.0109796520343347,876.0,1188598.2179712786,0.000737002619350358,0.9866905045689313
VGlut-F-300680,5813020585,projection,1,0.5705426138128582,0.0128784071140858,904.0,62548.868021442315,0.01445269960265469,0.16932515337423312
VGlut-F-300680,1322474586,projection,1,0.5566550668575216,0.0102051557930038,923.0,62548.868021442315,0.014756462094303407,0.10920245398773006
VGlut-F-800070,894551935,projection,1,0.3043274604165795,0.0023270067286751,4283.0,618877.9780494302,0.006920588794416456,0.34615384615384615
VGlut-F-800070,832357089,projection,0,0.1617239932952071,0.0076663932614377,9336.0,618877.9780494302,0.015085364694063049,0.38653846153846155
VT0765-F-700001,613079053,projection,0,-0.1452508342688097,0.0126882603174176,5378.0,881129.3683746641,0.0061035305291438505,0.8338579136690647
VT0765-F-700001,486544396,projection,0,-0.3313773095743706,0.0094298256848644,3325.0,881129.3683746641,0.003773566197360227,0.9219874100719424
VT16811-F-700000,1078693835,projection,0,0.3413856964435297,0.0243669855778049,19314.0,412477.34242901416,0.04682439012592278,0.20390070921985815
VT16811-F-700000,1729935421,projection,0,-0.4961696706655676,0.0038327472827304,468.0,412477.34242901416,0.0011346077756514373,0.9432624113475178
VT24618-F-700000,5813058048,projection,0,0.0936202395030199,0.0072046617466692,17639.0,1352524.1399215464,0.013041541721409242,0.6054909720504575
VT24618-F-700000,299082033,projection,0,-0.0933721956942689,0.0042552791983419,5654.0,1352524.1399215464,0.004180332042227329,0.8229037843185754
VT38815-F-700000,799586652,projection,0,0.3013071953486912,0.0132042677303838,7341.0,598267.5939024872,0.012270428943200497,0.28655783258075723
VT38815-F-700000,1640555311,projection,0,-0.6194797117659213,0.0252402226461247,463.0,598267.5939024872,0.0007739011852202466,0.9781174018756512
VT38815-F-700001,799586652,projection,0,0.2592114282401121,0.0132042677303838,9369.0,691516.4601653699,0.013548484439198292,0.3072005383580081
VT38815-F-700001,485745069,projection,0,-0.7444434914072817,0.0089867333996343,0.0,691516.4601653699,0.0,0.9996635262449529
VT43401-F-700002,575768294,projection,0,-0.4492122774445501,0.0048727490221169,13037.0,2537531.3093669717,0.005137670598142212,0.9213333333333333
VT43401-F-700002,5813020673,projection,0,-0.2865686864587017,0.0036610664163159,5201.0,2537531.3093669717,0.002049629882713634,0.7668333333333334
VT50245-F-700000,5813058316,projection,0,-0.027955081595569,0.0078940296257431,1225.0,334148.10567427275,0.0036660390383721907,0.6923466801824633
VT50245-F-700000,700486220,projection,0,-0.1906043645736551,0.0056141921175107,250.0,334148.10567427275,0.0007481712323208552,0.8737962493664471
VT50245-F-700001,612414168,projection,0,-0.2516694290293952,0.0060053098353832,3024.0,577340.1573842854,0.00523781337799301,0.9165029469548134
VT50245-F-700001,674807824,projection,0,-0.2263904508050762,0.0065659411788584,3718.0,577340.1573842854,0.0064398776915932585,0.949901768172888
VT50733-F-700000,919763043,projection,0,-0.4096147043146838,0.010398095409198,35892.0,2276884.4061070336,0.015763646105059564,0.942
VT50733-F-700000,519046655,projection,0,-0.1022357564963375,0.0110816715891169,20635.0,2276884.4061070336,0.009062822840128834,0.45116666666666666
VT58722-F-700000,549282467,projection,1,-0.0961948690226736,0.0026354753638663,10012.0,5497088.891088203,0.0018213276514831883,0.7235
