neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels,source,cable_length_um,n_nodes,n_branch_points,n_tips,branch_per_100um,span_um,radius_gyration_um,hull_volume_um3,hull_area_um2,occupied_volume_um3,n_voxels,fill_ratio,cable_per_occupied_um2,cable_per_hull_um2,cable_per_rg,cable_per_span,local_density_r5,local_density_r10,revisit_r4um,revisit_r8um,revisit_r16um,overdraw_2d_mean,overdraw_2d_max,elongation,flatness,arbor_separation,arbor_balance,arbor_centroid_dist_um,bridge_fraction
G0239-F-000007,projection,True,2,0.3018048450921726,0.2513270919795387,0.5531319370717113,0.6182157449409645,0.8327470418931884,0.0504777531126339,0.2599040895689958,1.4767179779458803,4.37855157012668,3.847573163078427,4.0,2.0,2.0,0.3018048450921726,0.2513270919795387,0.5531319370717113,0.6182157449409645,0.8327470418931884,0.0504777531126339,0.2599040895689958,1.4767179779458803,4.37855157012668,3.847573163078427,4.0,2.0,2.0,mb_4,dfp_5,1.0,0.3139336614869865,0.6860663385130136,31083.0,21325.0,FC,1734.282748298454,366,73,76,4.209232898823565,287.8294110184057,72.20589498810487,748908.0542901885,60821.77620695584,7688.0,961,0.0102656126555971,0.2255830838057302,0.0023157485600047,24.01857561053925,6.025384070940382,20.0,75.0,0.9466608888091996,1.23173490646197,1.4848311201185391,1.676833481932235,1.7154132030647418,0.4503210206477558,0.2526085466480807,4.05314050785963,0.1632577467650967,169.47669136500608,0.3008988063486382
fru-M-500374,projection,True,2,0.4963908939478068,0.2555987414399407,0.7519896353877475,0.8165833796039237,0.5149142431021626,0.240792152507866,0.3495486446493676,1.1843792680378225,3.268657231598414,2.860832148278248,3.0,2.0,2.0,0.4963908939478068,0.3201924856561169,0.8165833796039237,0.8165833796039237,0.6450410141685309,0.1761984082916898,0.3825688041024637,1.0233874387478026,2.782604720190055,2.613908895018448,2.0,2.0,2.0,dfp_5,mb_4,1.0,0.1834166203960762,0.8165833796039238,21612.0,17648.0,FC,1754.4503233426417,407,75,76,4.274843180347638,156.71112445630743,45.53270735342856,368148.0145961012,31735.646179535557,8160.0,1020,0.0221649979803705,0.2150061670763041,0.0047656112590134,38.53164956180744,11.195442119565667,14.0,49.0,0.7860440516768108,0.870263057213612,1.1790660775152162,1.4473278519830048,1.6066394902405143,0.6526120515117196,0.2801263809531728,2.2973069780733506,0.5123832409349686,70.80929487201834,0.3847094120080165
Cha-F-400112,projection,True,2,0.4345988486482547,0.2786198353129782,0.713218683961233,0.8409604313925527,0.6410965794768612,0.1559790133352765,0.3079318873069995,1.2775569672296383,3.5878637412300867,3.2474714091659758,3.0,3.0,2.0,0.4351089411936165,0.4063615827442979,0.8414705239379144,0.8415433943015376,0.9339306648802548,0.0287473584493186,0.3795580278366487,1.0206279880332012,2.7749368440352704,2.6346432604776107,2.0,2.0,2.0,dfp_5,mb_4,0.9976553341148886,0.1584566056984624,0.8415433943015376,27446.0,23097.0,FC,1777.5629716368228,416,44,46,2.475299086562528,138.96391565274453,42.986638718372106,301912.80203364923,25882.19811061106,8016.0,1002,0.0265507124772621,0.2217518677191645,0.0058876700811074,41.35152281346223,12.791543497369174,16.0,49.0,0.8713543978611876,1.0008800515973102,1.4243293041961722,1.5595953154474962,1.8175490507533976,0.6554041320672392,0.3663683943418623,2.696642767276193,0.1962892511282007,82.02079714326297,0.4606492042066686
fru-M-700270,projection,True,2,0.3753398870529178,0.2159328592344697,0.5912727462873876,0.637628111273792,0.5752995263304541,0.159407027818448,0.3101287131975595,1.287775665595653,3.6247150038764095,3.2244676401922696,2.0,2.0,2.0,0.4216952520393223,0.2159328592344697,0.6376281112737922,0.6463083037021544,0.5120590241180483,0.2057623928048525,0.3449267481141472,1.1417168536640625,3.132141179759057,2.8991662881101594,2.0,2.0,2.0,mb_4,dfp_5,0.7801475602951206,0.3469462455553231,0.6530537544446768,38248.0,24978.0,FC,1779.8130873193854,405,81,83,4.551039689341527,195.33954363835343,46.43413249755773,413107.0684293775,34608.98698885984,8080.0,1010,0.0195590940400026,0.2202738969454685,0.0043083578649142,38.32984469803538,9.111381413967491,16.0,49.0,0.8134429101094083,0.8793542921538465,1.235981310638462,1.5028366500634291,1.7163096309733707,0.4561836512210488,0.3305092813175043,1.9305963909668784,0.9124937773433928,64.53080234099478,0.3534487752860013
fru-F-500297,projection,True,2,0.3838791202882185,0.3249986556971554,0.7088777759853739,0.748292735387428,0.8466171732735678,0.058880464591063,0.3041589270401993,1.317245384295194,3.733123879281552,3.2877548909417165,2.0,2.0,2.0,0.4070549013281712,0.3319352583750067,0.7389901597031779,0.778405119105232,0.815455746367239,0.0751196429531645,0.326461097006232,1.1946288874041129,3.302332006064177,3.063152115735586,2.0,2.0,2.0,mb_4,dfp_5,0.8861294583883752,0.2214335645534225,0.7785664354465774,18597.0,14479.0,FC,1782.463733637547,459,84,88,4.712578349550919,180.3114772578148,42.36504269443188,314179.5211042555,27968.924153009,8216.0,1027,0.0261506541582436,0.2169503083784745,0.0056733924839297,42.07392747114639,9.885470191611413,17.0,50.0,0.8267457020582314,0.9245143846667776,1.3422166668957431,1.5040282315819926,1.6565648082133335,0.4642075635644831,0.3498939413300502,2.0891770620062764,0.4439525823248079,63.72016999973733,0.3153798707298516
fru-M-500174,projection,True,2,0.4960861880313105,0.2611312179109502,0.7572174059422607,0.846561737227506,0.5263827621309806,0.2349549701203602,0.3458038178890698,1.2021787177885692,3.3273584062462165,2.8918130693420783,3.0,2.0,2.0,0.4960861880313105,0.3504755491961956,0.846561737227506,0.8466038212271694,0.7064811672887683,0.1456106388351148,0.3924650059729809,1.0032209594984025,2.7270514198012865,2.5479978718633696,2.0,2.0,2.0,dfp_5,mb_4,1.0,0.1533961787728305,0.8466038212271695,23762.0,20117.0,FC,1784.6917361813266,427,87,91,4.8747914407981945,171.27631274119875,43.33756487507367,374075.4402384159,32236.019081272734,8224.0,1028,0.0219848702036104,0.2170101819286632,0.0047709406825635,41.181172530711855,10.41995654634406,17.0,51.0,0.8370974372332677,0.9574526481659478,1.2821061323141714,1.5193116695457822,1.5963253454215802,0.5751323565053479,0.3088769643067255,2.1196113392183302,0.5381922397974105,64.60048532713742,0.3571313652312146
fru-F-400338,projection,True,2,0.3937422123771286,0.2988785823065208,0.6926207946836495,0.7560016613595459,0.7590717299578058,0.0948636300706078,0.2854052508016363,1.4115835825762493,4.102446826177065,3.503789776786639,3.0,2.0,2.0,0.3985047764086944,0.348248650145369,0.7467534265540634,0.8101342932299599,0.8738882712618121,0.0502561262633254,0.3186670075664926,1.243625679901185,3.468165153501017,3.1380719567944024,3.0,2.0,2.0,dfp_5,mb_4,0.9760978321289604,0.185878443859892,0.814121556140108,36115.0,29402.0,FC,1820.2310852958176,446,76,79,4.175294038979053,190.84204023784983,42.49520605723286,372992.0298148964,32699.645915973477,8440.0,1055,0.0226278293511753,0.2156671902009262,0.004880080376514,42.83379830760949,9.53789365816479,15.0,51.0,0.8442630265750546,0.9249141693576308,1.3543386051308166,1.524857578266546,1.6065587690166083,0.6821381936563115,0.3800515244336423,2.7972470743219,0.1130387054938346,90.79701883197052,0.3803127536869602
VT38815-F-700001,projection,True,2,0.6518181346612719,0.1271008403361344,0.7789189749974064,0.787776221599751,0.1949943298251198,0.5247172943251375,0.4800859200292721,0.9899516850446932,2.691104448617081,2.0829604832798,2.0,2.0,1.0,0.6606753812636166,0.1282809420064322,0.7889563232700487,0.7947660545699761,0.1941663722372708,0.5323944392571844,0.491935508435064,0.934458276980746,2.545833947264023,2.032786783741595,2.0,2.0,1.0,mb_4,dfp_5,0.9731872963530012,0.1973104056437389,0.802689594356261,77112.0,61897.0,FC,1986.640087269045,2744,75,78,3.775218293470535,278.0888615721519,63.14393257231129,691508.6666101058,52029.84731494758,9568.0,1196,0.0138364137168431,0.2076337883851426,0.0028729069976923,31.462089963972083,7.14390384439615,20.0,68.0,0.8102121073691049,0.9096337395920536,1.2173039750423071,1.4561269858204229,1.60342218504362,0.417039472034753,0.2969701476089436,3.742431992215696,0.1189782462383593,154.7845195527702,0.4054581562448318
G0239-F-000013,projection,True,2,0.3373027177938579,0.3022334909691755,0.6395362087630334,0.6999031394222551,0.8960304054054055,0.0350692268246823,0.2789523575078096,1.3977785485134704,4.046201535340163,3.584841544033209,3.0,2.0,2.0,0.3373027177938579,0.3022334909691755,0.6395362087630334,0.6999031394222551,0.8960304054054055,0.0350692268246823,0.2789523575078096,1.39777854851347,4.0462015353401615,3.584841544033209,3.0,2.0,2.0,mb_4,dfp_5,1.0,0.263717167112985,0.736282832887015,35102.0,25845.0,FC,2014.9301872167764,436,101,105,5.012580616478396,292.1420242725267,70.10434679046604,835853.0387987889,62494.20507602466,9320.0,1165,0.0111502854776885,0.2161942260962206,0.0024106273396008,28.74187235834569,6.897091208408739,24.0,122.5,0.9522354381931836,1.234638595108319,1.5357699597688843,1.7251963869774691,1.865676099274793,0.4172911252081595,0.2862177128371873,4.685651577716686,0.1253992202434261,184.38452579142952,0.2798873058885123
TH-F-700016,projection,True,2,0.4912654922584679,0.2979294619543231,0.789194954212791,0.8655253576551064,0.6064530618356041,0.1933360303041447,0.3520304384572383,1.2070084231317022,3.3434674365408954,2.8406634505313426,3.0,2.0,2.0,0.4912654922584679,0.3742598653966386,0.8655253576551065,0.8731197822809018,0.7618281179817338,0.1170056268618293,0.397512597952851,1.0176332076840502,2.766638949092758,2.515643542242176,2.0,2.0,2.0,dfp_5,mb_4,1.0,0.1266595564708911,0.8733404435291089,54382.0,47494.0,FC,2052.1055516333927,450,107,111,5.21415674329385,161.41104736006812,43.02994280290841,281210.5568101613,27142.798194314804,9208.0,1151,0.032744147675139,0.2228611589523667,0.0072973986997889,47.69017614159343,12.713538417575922,19.0,63.0,0.8695362506921155,1.01388614211136,1.3500694418640742,1.5731453300650753,1.6710957260858246,0.5204633960124803,0.2556287679427001,2.549805516316379,0.6158141259531794,68.93157867905109,0.343755525007018
