group,label,test,method,n,rho,p
dense,1,FC cable,CNN_foldrank,299,-0.25869662351024664,5.84481830887953e-06
dense,1,FC 第二 compartment 佔比,NBLAST,299,-0.09499447980172836,0.10112225153347348
dense,1,FC 第二 compartment 佔比,CNN,299,0.17693109935342488,0.0021343397364481766
dense,1,FC 第二 compartment 佔比,CNN_foldrank,299,0.17904573218626701,0.0018824586551192586
dense,1,FC 第二 compartment | FC cable,NBLAST,299,-0.03787705472805396,0.5141133130699237
dense,1,FC 第二 compartment | FC cable,CNN,299,0.127207237192896,0.02785322709703074
dense,1,FC 第二 compartment | FC cable,CNN_foldrank,299,0.1321560229778176,0.022274546739081556
dense,1,孤兒率 (空間不重疊),NBLAST,299,-0.907492495114677,6.808534431004117e-114
dense,1,孤兒率 (空間不重疊),CNN,299,-0.09846854098384462,0.08919090687922322
dense,1,孤兒率 (空間不重疊),CNN_foldrank,299,-0.13305948910791365,0.021367967803102697
dense,1,孤兒率 | EM 密度,NBLAST,299,-0.8940852333512037,1.2981483872610555e-105
dense,1,孤兒率 | EM 密度,CNN,299,-0.19814191270739046,0.00056880001886427
dense,1,孤兒率 | EM 密度,CNN_foldrank,299,-0.23361358213897812,4.518687792980705e-05
