fc_id,em_id,KT_score,model_predict,binary_label
Cha-F-500132,1719237849,0.4742138364779874,0.3907229,0
fru-M-000071,5813014904,0.4097920858484238,0.008230864,0
fru-M-000071,1252927798,0.49124343257443087,0.057752717,0
fru-M-000071,1316077922,0.45628304188694596,0.11950938,0
fru-M-000071,798995311,0.3664662186062964,0.021868687,0
fru-M-000071,884636075,0.35275294117647055,0.0027147944,0
fru-M-000071,1068441202,0.4080685469475186,0.0022532041,0
fru-M-000071,1286362826,0.2523489932885906,0.0043318043,0
fru-M-000071,1392440010,0.3337096410024835,0.00090713124,0
fru-M-000071,1288790426,0.2951111111111111,0.0033763973,0
fru-M-000071,1440462757,0.32793345008756564,0.2435212,0
Gad1-F-400351,1162862472,0.377283950617284,0.044693492,0
Gad1-F-400351,1009768220,0.5195061728395061,0.082462385,0
Gad1-F-400351,1129772186,0.4967901234567901,0.34505695,0
Gad1-F-400351,921814579,0.4716049382716049,0.02937033,0
Gad1-F-400351,979066072,0.5616568661362851,0.3120754,0
Gad1-F-400351,5813130366,0.49475524475524474,0.014956237,0
Gad1-F-400351,788729370,0.4577777777777778,0.031028217,0
Gad1-F-400351,1072874511,0.5362318840579711,0.04628601,0
Gad1-F-400351,1349740992,0.4074074074074074,0.0037228263,0
Gad1-F-400351,1324209745,0.38333333333333336,0.02836857,0
fru-F-000130,644788121,0.46167496708454975,0.26318586,0
fru-F-000130,1008759880,0.355525238744884,0.44014975,0
fru-F-000130,632570417,0.43364046265438155,0.08702216,0
fru-F-000130,5813060726,0.48635743519781727,0.22379996,0
fru-F-000130,1289359184,0.3896938389819831,0.05302047,0
fru-F-000130,766186252,0.43266298131910025,0.053517267,0
fru-F-000130,861073717,0.4165075034106412,0.9323361,1
fru-F-000130,1043825714,0.4926330150068215,0.41519257,0
fru-F-000130,796978752,0.36466575716234656,0.61152965,1
fru-F-000130,576985092,0.4431105047748978,0.10370257,0
Gad1-F-400576,1258755799,0.3165608207132389,0.4992797,0
Gad1-F-400576,1885109710,0.31269740998104867,0.78393334,1
Gad1-F-400576,1823717721,0.21899886234357224,0.66430455,1
Gad1-F-400576,1666910636,0.33910761154855645,0.48737472,0
Gad1-F-400576,1635889014,0.29115779189057156,0.24699269,0
Gad1-F-400576,1667247833,0.33511413307430793,0.470912,0
Gad1-F-400576,1730315051,0.3766686012768427,0.46029043,0
Gad1-F-400576,1698618777,0.3387134502923977,0.448706,0
Gad1-F-400576,1700980626,0.25735294117647056,0.73618156,1
Gad1-F-400576,1066088381,0.47158443250284965,0.82610196,1
Cha-F-200363,1314069729,0.5510522213561965,0.41616443,0
Cha-F-200363,1343744386,0.5803418803418805,0.5189827,1
Cha-F-200363,1723658004,0.5813664596273291,0.4758561,0
Cha-F-200363,1312346567,0.43800695249130944,0.4973669,0
Cha-F-200363,1626106552,0.4728662420382165,0.44821024,0
Cha-F-200363,1597494148,0.5220804710500491,0.42496747,0
Cha-F-200363,1904755969,0.4807566862361383,0.49156973,0
Cha-F-200363,5901214312,0.5795996186844614,0.42728058,0
Cha-F-200363,1719549300,0.5115839243498818,0.4819428,0
Cha-F-200363,2244482994,0.4469813391877059,0.41750985,0
Gad1-F-300052,5812983952,0.5732661759008137,0.45667478,0
Gad1-F-300052,1321680157,0.5063788027477921,0.30108693,0
Gad1-F-300052,1387471295,0.5529285330467493,0.3641025,0
Gad1-F-300052,5901195292,0.5714285714285715,0.41638106,0
Gad1-F-300052,1260577951,0.557617728531856,0.3719486,0
Gad1-F-300052,5901215776,0.6122159090909092,0.36067158,0
Gad1-F-300052,1569519432,0.5327552986512524,0.5058854,1
Gad1-F-300052,1199531317,0.5739549839228296,0.44759747,0
Gad1-F-300052,1635725024,0.6403022670025189,0.2169038,0
Gad1-F-300052,1447431073,0.5621562156215623,0.41430238,0
Trh-M-000138,1876993474,0.16821531560397304,0.23471104,0
Trh-M-000138,5813013422,0.1784043575776994,0.104117386,0
Trh-M-000138,1933892078,0.1690163409163729,0.48941657,0
Trh-M-000138,1467797424,0.22300544697212432,0.42103565,0
Trh-M-000138,1161429278,0.1601409804549824,0.7801199,1
Trh-M-000138,1312899483,0.15706504325536685,0.6383765,1
Trh-M-000138,1591156798,0.20339634732457545,0.10689784,0
Trh-M-000138,1313845690,0.16388977891701378,0.72194445,1
Trh-M-000138,1037972384,0.15648830503043892,0.7326775,1
Trh-M-000138,2126296267,0.13857737904517778,0.57296,1
Trh-M-500137,327730878,0.44546649145860695,0.4497863,0
Trh-M-500137,1194246820,0.48432381843706124,0.39372075,0
Trh-M-500137,973959177,0.42851500789889413,0.62645143,1
Trh-M-500137,916288456,0.4469770449401877,0.40131173,0
Trh-M-500137,422191200,0.5253014897138802,0.3409951,0
Trh-M-500137,5813071028,0.4395053475935829,0.4604831,0
Trh-M-500137,5813010809,0.4387239902080783,0.15910923,0
Trh-M-500137,915273413,0.3842085016349297,0.57354033,1
Trh-M-500137,1224595289,0.4439764597276713,0.28939912,0
