em_id,mean_score,max_score,n_chance,n_rank1,n_top5,group
324370873,0.6788594,0.9604834,333,14,27,unseen
324721026,0.11592899,0.6499668,1030,0,0,unseen
324725187,0.13978608,0.875185,433,0,0,unseen
325113795,0.05007349,0.13916105,133,0,0,unseen
325122525,0.29398054,0.5696245,171,0,0,unseen
325127286,0.106404744,0.17821404,10,0,0,unseen
325455002,0.11647177,0.33305636,171,0,0,unseen
325455305,0.16964282,0.24169363,14,0,0,unseen
325455473,0.26425734,0.36258447,3,0,0,unseen
325458991,0.1963785,0.3207442,5,0,0,unseen
325472654,0.2640577,0.453109,20,0,0,unseen
325489440,0.24057807,0.69485635,313,0,0,unseen
325529237,0.15867476,0.41336015,140,0,0,unseen
325787243,0.54471344,0.59122217,2,0,0,unseen
325791831,0.2978089,0.784874,75,0,0,unseen
325791855,0.08227483,0.17195588,9,0,0,unseen
325797575,0.49279726,0.6043365,2,0,0,unseen
325814461,0.21814957,0.5359972,132,0,0,unseen
325814669,0.298686,0.63468677,12,0,0,unseen
325814784,0.2903419,0.529635,226,0,0,unseen
325815440,0.29372767,0.82299,243,0,0,unseen
325826011,0.43361846,0.61807287,12,0,0,unseen
325839288,0.27183414,0.7252903,478,0,0,unseen
325839302,0.36951166,0.8199925,466,0,0,unseen
326124243,0.21134444,0.277104,2,0,0,unseen
326128466,0.33621535,0.390382,2,0,0,unseen
326134570,0.14041549,0.27519882,9,0,0,unseen
326137566,0.38849953,0.53039014,3,0,0,unseen
326155085,0.6195045,0.9344328,18,0,1,unseen
326159593,0.3606361,0.60514235,23,0,0,unseen
326159897,0.44935182,0.7050912,11,0,0,unseen
326159907,0.31462398,0.47945982,40,0,0,unseen
326184549,0.13469397,0.50686604,346,0,0,unseen
326253554,0.033090338,0.3372652,812,0,1,neg_only
326475920,0.23176757,0.23176757,1,0,0,unseen
326496740,0.44083044,0.48876527,6,0,0,unseen
326500709,0.46529835,0.6783077,19,0,0,unseen
326508001,0.4029875,0.698932,17,0,0,unseen
326508583,0.1571531,0.72938114,841,0,0,unseen
326509224,0.11955692,0.37796187,211,0,0,unseen
326525255,0.2693678,0.63898385,311,0,0,unseen
326525339,0.26882133,0.86619616,451,0,0,unseen
326530038,0.045065902,0.20187572,329,0,0,pos_only
326542980,0.10001653,0.4041444,806,0,0,unseen
326810603,0.3596738,0.8159853,356,0,0,unseen
326812225,0.48849285,0.60254914,3,0,0,unseen
326817334,0.18115927,0.6681324,693,0,0,neg_only
326817510,0.107158355,0.4252052,455,0,0,unseen
326817565,0.48653793,0.61753565,3,0,0,unseen
326849964,0.4410053,0.7880783,533,0,0,unseen
326875404,0.2624057,0.73177236,325,0,0,unseen
326884203,0.14174642,0.40540045,326,0,0,unseen
326884223,0.1277967,0.38017976,368,0,0,unseen
326888433,0.079355635,0.19896327,330,0,0,unseen
326888627,0.049656283,0.43672207,330,0,0,unseen
326888675,0.23765069,0.45619616,401,0,0,unseen
326901620,0.12895702,0.33669665,301,0,0,unseen
327147292,0.19387937,0.39178115,51,0,0,unseen
327147610,0.34558994,0.6874717,239,0,0,unseen
327153088,0.46509975,0.6040159,9,0,0,unseen
327203386,0.1694536,0.7026669,376,0,0,unseen
327225145,0.31744012,0.911161,514,0,7,unseen
327229641,0.10566928,0.35381353,375,0,0,unseen
327242287,0.2201802,0.44654536,361,0,0,unseen
327246381,0.2673176,0.5481113,431,0,0,unseen
327499164,0.028484723,0.07729896,237,0,0,neg_only
327509674,0.22523457,0.508921,219,0,0,unseen
327511994,0.032791413,0.31660497,187,0,0,unseen
327531576,0.39633116,0.72422814,130,0,0,unseen
327544990,0.19479592,0.64863765,898,0,0,unseen
327565511,0.08061956,0.5680893,359,0,0,unseen
327565800,0.13089354,0.65405357,314,0,0,unseen
327588074,0.25557443,0.6938039,157,0,0,unseen
327588225,0.057274148,0.4025845,647,0,0,unseen
327588446,0.25082123,0.7965117,693,0,0,unseen
327592562,0.1883752,0.5236031,756,0,0,unseen
327596481,0.18895765,0.66728884,259,0,0,unseen
327838570,0.136828,0.49646065,265,0,0,unseen
327844600,0.42894748,0.7844145,11,0,0,unseen
