fc,em,similarity score
1888199872,VGlut-F-700541,0.2469288967309379
Cha-F-000088,1640887603,0.3307637041921357
1640887603,Cha-F-000088,0.2416622628042475
Cha-F-000088,5813047691,0.3481172637518871
5813047691,Cha-F-000088,0.2492425486432564
Cha-F-000239,1640572741,0.1214803968517823
1640572741,Cha-F-000239,0.0574141363121945
Cha-F-000239,5813054726,0.1054770226822975
5813054726,Cha-F-000239,0.0691820917073073
Cha-F-000329,640539567,0.4117927393034775
640539567,Cha-F-000329,0.34128849741623
Cha-F-000329,1043705078,0.3147743317791727
1043705078,Cha-F-000329,0.2824660632344283
Cha-F-000427,573670049,0.3597921388536091
573670049,Cha-F-000427,0.3839572310319109
Cha-F-000427,573333284,0.3890457844621185
573333284,Cha-F-000427,0.3834284034183092
Cha-F-000461,487144598,0.2333044198462817
487144598,Cha-F-000461,0.3429851034768558
Cha-F-100135,393063351,0.4146007404787438
393063351,Cha-F-100135,0.3513470070321237
Cha-F-200299,5813027276,0.5526516305217563
5813027276,Cha-F-200299,0.4632160743370353
Cha-F-200299,1321564092,0.4978319357552439
1321564092,Cha-F-200299,0.389380405812373
Cha-F-300267,328611004,0.5129702810071579
328611004,Cha-F-300267,0.4387846797958291
Cha-F-300344,5812978978,0.4208435555559905
5812978978,Cha-F-300344,0.3609085292077456
Cha-F-300344,5813053836,0.3085553942712729
5813053836,Cha-F-300344,0.3524866442154514
Cha-F-300344,859507274,0.4233276343395638
859507274,Cha-F-300344,0.3710469442588929
Cha-F-400237,5813098368,0.4481771109408048
5813098368,Cha-F-400237,0.3993071682027899
Cha-F-400237,5813027276,0.5493547323693434
5813027276,Cha-F-400237,0.4452832361889107
Cha-F-500071,1105169664,0.3138124951993927
1105169664,Cha-F-500071,0.3595298946686936
Cha-F-500071,1012954687,0.1843153869189503
1012954687,Cha-F-500071,0.142482780245543
Cha-F-500310,5813009312,0.349785409808062
5813009312,Cha-F-500310,0.372781868977788
Cha-F-700236,360259229,0.2022608089240768
360259229,Cha-F-700236,0.2529364250474189
Cha-F-800090,296139882,0.4655892372293724
296139882,Cha-F-800090,0.4810216735603059
Cha-F-800090,297251714,0.4467394570672557
297251714,Cha-F-800090,0.4961519231873806
E0585-F-600004,5813010510,0.2805969138655709
5813010510,E0585-F-600004,0.2448067201507056
GH146-M-000001,610274029,0.2503503658294935
610274029,GH146-M-000001,0.2416940974267034
Gad1-F-000245,953414780,0.0361818953368726
953414780,Gad1-F-000245,0.2402809191987291
Gad1-F-000694,5813033371,0.2880409764904477
5813033371,Gad1-F-000694,0.2903618141599844
Gad1-F-000694,1480525278,0.1800026361497143
1480525278,Gad1-F-000694,0.2277752597951037
Gad1-F-000703,424716408,0.3875695380484836
424716408,Gad1-F-000703,0.4374947632024889
Gad1-F-000703,5813068669,0.1138918148117185
5813068669,Gad1-F-000703,0.2798957741626882
Gad1-F-100171,1224595608,0.3709329407887237
1224595608,Gad1-F-100171,0.3884398816043579
Gad1-F-100784,832016427,0.2974011917251228
832016427,Gad1-F-100784,0.3950005976599888
Gad1-F-200186,1916800213,0.2074349626418528
1916800213,Gad1-F-200186,0.2212937330682146
Gad1-F-200186,1762359683,0.161215298632333
1762359683,Gad1-F-200186,0.1429807526273101
Gad1-F-200219,5901197108,0.3115764822060457
5901197108,Gad1-F-200219,0.3964703579553471
Gad1-F-200247,543692985,0.4183685241488211
543692985,Gad1-F-200247,0.396355523795329
Gad1-F-200719,5813039309,0.2092754782586537
5813039309,Gad1-F-200719,0.2309949023051606
Gad1-F-200719,1640555311,0.2177747454909823
1640555311,Gad1-F-200719,0.225362890731418
Gad1-F-400220,550638250,0.5419855738886197
550638250,Gad1-F-400220,0.5440477595020032
Gad1-F-500004,294436967,0.380151702671688
294436967,Gad1-F-500004,0.3865798599536538
Gad1-F-500321,574377562,0.4450994924150513
574377562,Gad1-F-500321,0.4120534559391364
Gad1-F-500457,1261423370,0.5279760892804359
1261423370,Gad1-F-500457,0.520337777623557
Gad1-F-600059,328546871,0.3633203505201658
328546871,Gad1-F-600059,0.3231476412656973
Gad1-F-600604,1793403571,0.3200127131170148
1793403571,Gad1-F-600604,0.2786419853209859
Gad1-F-700193,634379734,0.1677938237389966
634379734,Gad1-F-700193,0.2345933724339758
Gad1-F-700607,977338882,0.4129808207436384
977338882,Gad1-F-700607,0.4388707077152564
Gad1-F-700607,915610561,0.3810861831434506
915610561,Gad1-F-700607,0.3915528534025302
Gad1-F-700607,1008378609,0.4008416895105972
1008378609,Gad1-F-700607,0.3963735314446879
Gad1-F-800371,5813082723,0.409423050413088
5813082723,Gad1-F-800371,0.3925491867796827
Gad1-F-900395,5813049380,0.482428773831829
5813049380,Gad1-F-900395,0.4905924286777063
TH-F-000009,5813054384,0.3320871578322569
5813054384,TH-F-000009,0.401841627062899
TH-F-000009,1378251040,0.1853014592061584
1378251040,TH-F-000009,0.1111120364238266
TH-F-000010,5812980529,0.4654020564195141
5812980529,TH-F-000010,0.4963044432481798
TH-F-000010,360591860,0.421453766033722
360591860,TH-F-000010,0.3737479193387367
TH-F-000010,5901203505,0.3801417849417204
5901203505,TH-F-000010,0.4263142640397261
TH-F-000012,487144598,0.2416507015130633
487144598,TH-F-000012,0.3268499244270563
TH-F-000019,859265651,0.6282024114901233
859265651,TH-F-000019,0.5407001701575425
TH-F-000019,5813027592,0.3656314894321037
5813027592,TH-F-000019,0.4004372789372904
TH-F-000036,859265651,0.4249404002131027
859265651,TH-F-000036,0.3314645905267933
TH-F-000046,604289581,0.2717820281494122
604289581,TH-F-000046,0.3585810708385548
TH-F-000046,550404663,0.2435953047989415
550404663,TH-F-000046,0.3356805641333529
TH-F-000079,1378251040,0.0587386655154444
1378251040,TH-F-000079,0.1756305462979249
TH-F-000091,331662710,0.5161174709155677
331662710,TH-F-000091,0.4418689037217901
TH-F-100005,1378251040,0.1781785604778578
1378251040,TH-F-100005,0.1344453692229718
TH-F-100005,5813054384,0.3179771215819166
5813054384,TH-F-100005,0.4300060972642429
TH-F-100036,360591860,0.42472730849571
360591860,TH-F-100036,0.3607314619718758
TH-F-100036,5901203505,0.3605832800252265
5901203505,TH-F-100036,0.4370968699956737
TH-F-100050,1131827390,0.4718073499531993
1131827390,TH-F-100050,0.4672563593951681
TH-F-100075,859265651,0.4786567030203233
859265651,TH-F-100075,0.3583231186405123
TH-F-100095,331662710,0.3568682839440561
331662710,TH-F-100095,0.2500050716635292
TH-F-100099,331662710,0.4820957824424212
331662710,TH-F-100099,0.326713886008344
TH-F-200004,859265651,0.4832498292048781
859265651,TH-F-200004,0.3446150569915691
TH-F-200004,5813011298,0.4178528607929948
5813011298,TH-F-200004,0.4153332227408587
TH-F-200010,331662710,0.4017961018019846
331662710,TH-F-200010,0.3889515962858099
TH-F-200026,5813009595,0.4455603093708862
5813009595,TH-F-200026,0.5011273184961227
TH-F-200034,331662710,0.446186605654844
331662710,TH-F-200034,0.3606176093133657
TH-F-200064,331662710,0.3777312075103862
331662710,TH-F-200064,0.2870507688798894
TH-F-200081,331662710,0.3887752166468786
331662710,TH-F-200081,0.3270900579561392
TH-F-200085,1131827390,0.3732089232535884
1131827390,TH-F-200085,0.3751685882975838
TH-F-300037,331662710,0.4464568956679434
331662710,TH-F-300037,0.4048930374399201
TH-F-300046,1131827390,0.3173291983720828
1131827390,TH-F-300046,0.3901727767382934
TH-F-300062,5813060068,0.5213720420188489
5813060068,TH-F-300062,0.4977024884707087
TH-F-300078,5813071348,0.3661495763022143
5813071348,TH-F-300078,0.3917250451132072
TH-F-700015,1224941044,0.3488649657884399
