fc,em,similarity_score
Cha-F-000239,1793014716,-0.2328575612489355
Cha-F-000239,823314446,-0.09507216571848669
Cha-F-000239,5813038793,-0.15504675793885042
Cha-F-000239,5813039465,-0.12741703358005368
Cha-F-000239,1734420152,-0.1279069700623823
Cha-F-000239,1570685283,-0.1629258198837156
Cha-F-000239,542652506,-0.18915245140349474
Cha-F-000239,604031203,-0.20007617258192456
Cha-F-000239,5813047199,-0.6647369909275888
Cha-F-000239,730213826,-0.14290049880839972
Cha-F-000239,635048729,-0.185973989260275
Cha-F-000239,5813047453,-0.43756659969223144
Cha-F-000239,5813021632,0.15530041929123684
Cha-F-000239,639585968,-0.2863143462783564
Cha-F-000239,1100900138,-0.8588721069689254
Cha-F-000239,792368888,-0.28566318237202637
Cha-F-000239,1974846717,-0.04801291169881771
Cha-F-000239,5813024692,0.29264963624279866
Cha-F-000239,1887872301,0.044769742525335623
Cha-F-000239,1888213190,-0.014478812866604027
Cha-F-000239,762982753,0.05785730729423413
Cha-F-000239,1916528384,0.15726787854127672
Cha-F-000239,2040344064,0.08454784642378346
Cha-F-000239,788940872,0.26866873193445234
Cha-F-000239,1886132855,0.1297560280821894
Cha-F-000239,1693827279,0.04605886327790492
Cha-F-000239,788945049,0.07041118228036992
Cha-F-000239,1762674761,0.1019980575822174
Cha-F-000239,1702306047,0.16751973708378143
Cha-F-000239,1671608112,0.27684267847658767
Cha-F-000239,1701299822,0.32660264888216445
Cha-F-000239,1700307582,0.3604824558962894
Cha-F-000239,1793403571,0.24734626829195627
Cha-F-000239,1917866877,0.25298351420431386
Cha-F-000239,1794055377,0.41857374413059734
Cha-F-000239,1037293275,0.44849983623360273
Cha-F-000239,1733677514,0.45820709016103794
Cha-F-000239,5813083723,0.19444307232898805
Cha-F-000239,5813044177,0.22531133973164438
Cha-F-000239,1630734360,0.208100324582298
Cha-F-000239,850703925,0.18413902226049852
Cha-F-000239,850708902,0.21691915241040424
Cha-F-000239,1887163927,0.1964863540492272
Cha-F-000239,1917188956,0.20460254174935338
Cha-F-000239,5813024799,0.086609181233418
Cha-F-000239,5812983069,0.16556912511877525
Cha-F-000239,1693486219,0.14689086541865062
Cha-F-000239,1102334088,0.30882224182809875
Cha-F-000239,1888178718,0.2809712272898343
Cha-F-000239,1671952694,0.32657973046647026
Cha-F-000239,577542489,0.27074381695445193
Cha-F-000239,5812995328,-0.1023943772433039
Cha-F-000239,1670973150,-0.03941109547868085
Cha-F-000239,1670969304,0.024951224140482866
Cha-F-000239,1672293837,-0.03505888838392973
Cha-F-000239,5813079228,0.04058635254578333
Cha-F-000239,1943811511,-0.007080822241886862
Cha-F-000239,329599710,-0.01572928060685702
Cha-F-000239,1670597454,-0.0417438252097491
Cha-F-000239,5812995298,0.02122608100165997
Cha-F-000239,417199910,-0.09745702990503262
Cha-F-000239,609924156,0.1720839203628773
Cha-F-000239,1732313117,0.058404445963863724
Cha-F-000239,697844568,-0.04977493477343838
Cha-F-000239,1795410644,0.10018633950466285
Cha-F-000239,1765415970,0.0451126295215501
Cha-F-000239,730252777,0.10404122684001833
Cha-F-000239,851684181,0.037804419729223826
Cha-F-000239,1827473315,0.03063893526418091
Cha-F-000239,792024028,0.04067556043201783
Cha-F-000239,757569579,0.07003289818759723
Cha-F-000239,757258507,-0.020989916868188265
Cha-F-000239,757591093,-0.0030372170201730573
