fc_id,em_id,nblast_official
5-HT1B-F-500001,VGlut-F-700294,-0.8821658936048253
5-HT1B-F-500001,VGlut-F-700326,-0.8819345107943548
5-HT1B-F-500001,VGlut-F-800014,-0.8798919390601461
5-HT1B-F-500001,VGlut-F-800158,-0.8816592023232845
5-HT1B-F-500001,VGlut-F-900094,-0.8810250126317678
5-HT1B-F-500001,VGlut-F-500341,-0.8812782506228546
5-HT1B-F-500001,VGlut-F-500343,-0.8816460815029715
5-HT1B-F-500001,VGlut-F-500371,-0.833410648895163
5-HT1B-F-500001,VGlut-F-500410,-0.8813441480934368
5-HT1B-F-500001,VGlut-F-500416,-0.8812660804482906
5-HT1B-F-500001,VGlut-F-500425,-0.881636060943343
5-HT1B-F-500001,VGlut-F-500465,-0.8811055847965199
5-HT1B-F-500001,VGlut-F-500482,-0.8523475144514829
5-HT1B-F-500001,VGlut-F-500632,-0.8813473830771394
5-HT1B-F-500001,VGlut-F-500677,-0.8722515477838539
5-HT1B-F-500001,VGlut-F-500736,-0.8815543440291276
5-HT1B-F-500001,VGlut-F-500740,-0.872779305042106
5-HT1B-F-500001,VGlut-F-500748,-0.864127522275536
5-HT1B-F-500001,VGlut-F-500764,-0.8608022850934445
5-HT1B-F-500001,VGlut-F-500777,-0.8808875515470396
5-HT1B-F-500001,VGlut-F-500780,-0.8812314176959694
5-HT1B-F-500001,VGlut-F-500789,-0.8662164453316279
5-HT1B-F-500001,VGlut-F-500803,-0.8808619197783761
5-HT1B-F-500001,VGlut-F-500841,-0.8815489802773647
5-HT1B-F-500001,VGlut-F-500869,-0.8517616501991251
5-HT1B-F-500001,VGlut-F-600089,-0.8814567821798069
5-HT1B-F-500001,VGlut-F-600169,-0.8808621323313539
5-HT1B-F-500001,VGlut-F-600180,-0.8811954694571791
5-HT1B-F-500001,VGlut-F-600187,-0.8811391957119381
5-HT1B-F-500001,VGlut-F-600192,-0.8809105874786776
5-HT1B-F-500001,VGlut-F-600195,-0.8815291685743002
5-HT1B-F-500001,VGlut-F-600291,-0.8589734215891335
5-HT1B-F-500001,VGlut-F-600312,-0.8716257078025298
5-HT1B-F-500001,VGlut-F-600388,-0.8812040993420286
5-HT1B-F-500001,VGlut-F-600461,-0.8810222959659271
5-HT1B-F-500001,VGlut-F-600483,-0.8516640977093555
5-HT1B-F-500001,VGlut-F-600579,-0.8819493467959771
5-HT1B-F-500001,VGlut-F-600594,-0.8811029396309311
5-HT1B-F-500001,VGlut-F-600602,-0.8677642151547658
5-HT1B-F-500001,VGlut-F-600626,-0.8810708601035231
5-HT1B-F-500001,VGlut-F-600681,-0.8813963617421654
5-HT1B-F-500001,VGlut-F-600683,-0.8811228986181043
5-HT1B-F-500001,VGlut-F-600692,-0.8800260904080145
5-HT1B-F-500001,VGlut-F-600706,-0.8819590900162309
5-HT1B-F-500001,VGlut-F-600785,-0.8680606181151739
5-HT1B-F-500001,VGlut-F-600796,-0.8472337457004289
5-HT1B-F-500001,VGlut-F-700004,-0.8806510446047512
5-HT1B-F-500001,VGlut-F-700025,-0.8483467090480716
5-HT1B-F-500001,VGlut-F-700029,-0.8812947728461462
5-HT1B-F-500001,VGlut-F-700036,-0.8809279958226739
5-HT1B-F-500001,VGlut-F-700037,-0.8809418453649506
5-HT1B-F-500001,VGlut-F-700041,-0.880910935521855
5-HT1B-F-500001,VGlut-F-700046,-0.8811022775551898
5-HT1B-F-500001,VGlut-F-700074,-0.8268109293553626
5-HT1B-F-500001,VGlut-F-700081,-0.8661389296253512
5-HT1B-F-500001,VGlut-F-700102,-0.8359720644128116
5-HT1B-F-500001,VGlut-F-700108,-0.8812063828734087
5-HT1B-F-500001,VGlut-F-700145,-0.874401266566218
5-HT1B-F-500001,VGlut-F-700199,-0.8813789788967941
5-HT1B-F-500001,VGlut-F-700229,-0.8807944672033543
5-HT1B-F-500001,VGlut-F-700339,-0.880906288363914
5-HT1B-F-500001,VGlut-F-700349,-0.881371886738393
5-HT1B-F-500001,VGlut-F-700365,-0.8813723516964558
5-HT1B-F-500001,VGlut-F-700389,-0.8742178395672409
5-HT1B-F-500001,VGlut-F-700401,-0.881086555393889
5-HT1B-F-500001,VGlut-F-700408,-0.8811978578713969
5-HT1B-F-500001,VGlut-F-700442,-0.8814409563838788
5-HT1B-F-500001,VGlut-F-700462,-0.8812019260141921
5-HT1B-F-500001,VGlut-F-700488,-0.8811950372176492
5-HT1B-F-500001,VGlut-F-700493,-0.8812308138003311
5-HT1B-F-500001,VGlut-F-700496,-0.8766335170229506
5-HT1B-F-500001,VGlut-F-700499,-0.8810043887626737
5-HT1B-F-500001,VGlut-F-700508,-0.8812903009974188
5-HT1B-F-500001,VGlut-F-700551,-0.8731971916183323
5-HT1B-F-500001,VGlut-F-700555,-0.8759523418411186
5-HT1B-F-500001,VGlut-F-700571,-0.8816718831936191
5-HT1B-F-500001,VGlut-F-700574,-0.8815484648050815
5-HT1B-F-500001,VGlut-F-700579,-0.8811534221148847
5-HT1B-F-500001,VGlut-F-700584,-0.8675746120402071
5-HT1B-F-500001,VGlut-F-700585,-0.8813601709159002
