fc_id,em_id,group,score,label,soma_dist_um
VT5948-F-700001,422725634,projection,0.3230441953749494,1,84.07933555659665
VT5948-F-700001,736174181,projection,-0.201532935112521,0,78.46305014290225
5HT1A-F-200016,1191315642,dense,0.349490647063804,1,12.96443098928185
Cha-F-400298,1167304403,dense,0.5182442374415873,1,26.13394527899599
Cha-F-400298,1261000309,dense,0.5525302965165131,1,13.994708668814196
Gad1-F-700172,5813039309,dense,0.2069563508260464,0,26.08309963757482
TH-F-100083,331662710,dense,0.3124930450489763,1,90.02549137042905
TH-F-200037,331662710,dense,0.3197232188981903,1,36.26104348750462
TH-F-200096,331662710,dense,0.3656418337702284,1,41.74813100395105
TH-F-200106,5813041180,dense,0.4186373560548033,1,26.668947742460343
TH-M-000008,1131827390,dense,0.2753487549286409,0,30.90106190286669
TH-M-000021,604289581,dense,0.372412465943558,0,162.18009184360218
TH-M-000021,550404663,dense,0.3028996502890294,0,205.60818523394644
TH-M-000032,859265651,dense,0.5192585465278696,1,30.04772182179838
TH-M-000032,5813027592,dense,0.3738746988034935,1,134.66794871590895
TH-M-200035,294436967,dense,0.2710908220532363,1,9.877172669179407
TH-M-200035,452971138,dense,0.1869911730959587,1,219.2621822499516
TH-M-300017,5813054384,dense,0.3416893718220296,1,27.776039514933828
TH-M-300017,947573616,dense,0.3166847899504436,0,169.7960928301637
Trh-F-000008,1671638278,dense,0.413864099550324,1,35.84448742068601
Trh-F-100052,361312808,dense,0.2314608457756147,1,30.25722564148033
Trh-M-100024,329289084,dense,0.1703284277446725,1,23.028951358964267
Trh-M-700039,5813021583,dense,0.0729286725349774,0,189.17250869807137
Trh-M-700039,981000564,dense,0.0176704348611034,0,137.2722279700008
VGlut-F-200143,328870472,dense,0.4601265329274544,1,11.72467717568128
VGlut-F-200143,298612190,dense,0.3071779943390753,0,33.788612186267436
VGlut-F-200251,548712377,dense,0.4593901804164131,1,26.60988227882991
VGlut-F-200251,5813020996,dense,0.3580144992037654,1,87.7624086068606
VGlut-F-200319,424716408,dense,0.3353374278569212,1,51.92923710404034
VGlut-F-200392,857793013,dense,0.2903734985925111,0,209.11908347381294
VGlut-F-400186,1762359683,dense,0.3282110816405185,0,118.86674067060434
VGlut-F-400186,1916800213,dense,0.3011551641499405,0,65.03174160892507
VGlut-F-700541,1762359683,dense,0.324861330287381,0,123.21331702795678
VGlut-F-700541,1888199872,dense,0.2437750856631718,1,29.406243620488414
Cha-F-000088,1640887603,dense,0.2997459824695961,1,18.345668818490456
Cha-F-000088,5813047691,dense,0.317653678136554,1,29.820063887618698
Cha-F-000239,1640572741,dense,0.098264689631567,0,39.57498900570304
Cha-F-000239,5813054726,dense,0.0927604778407396,0,35.14529239175487
Cha-F-000329,640539567,dense,0.3640240772470223,1,150.58498744693028
Cha-F-000329,1043705078,dense,0.2515305891143056,1,76.70283446313766
Cha-F-000427,573670049,dense,0.2850398691389392,1,33.73620679978124
Cha-F-000427,573333284,dense,0.2631179316548384,1,46.07578188526628
Cha-F-000461,487144598,dense,0.307963944750989,0,149.14265596276974
Cha-F-100135,393063351,dense,0.3861172101305609,1,62.63127061255434
Cha-F-200299,5813027276,dense,0.5221886311726456,1,26.67039146878589
Cha-F-200299,1321564092,dense,0.4295882673524554,1,45.140293826285635
Cha-F-300267,328611004,dense,0.465078538164594,1,29.41789938957167
Cha-F-300344,5812978978,dense,0.3945956251234596,1,110.507785747369
Cha-F-300344,5813053836,dense,0.3100362430758369,1,134.2784699861391
Cha-F-300344,859507274,dense,0.3958020868156513,1,125.51135520697959
Cha-F-400237,5813098368,dense,0.4738105465616067,0,114.75169872307696
Cha-F-400237,5813027276,dense,0.5296505737101467,0,37.60809693682219
Cha-F-500071,1105169664,dense,0.3134453785950378,1,75.97167569148684
Cha-F-500071,1012954687,dense,0.1807594497091317,1,66.76315009667911
Cha-F-500310,5813009312,dense,0.3576733881649101,0,179.39096523746605
