neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels
Gad1-F-000703,dense,True,4,0.727574305032689,0.09646422101786899,0.824038526050558,0.8659639340107199,0.13258332564882835,0.63111008401482,0.5473363456453864,1.007855766876081,2.7397201136404523,1.8270301396134394,2.0,1.0,1.0,0.727574305032689,0.09646422101786899,0.824038526050558,0.8659639340107199,0.13258332564882835,0.63111008401482,0.5473363456453864,1.007855766876081,2.7397201136404523,1.8270301396134394,2.0,1.0,1.0,lh_25,dlp_23,1.0,0.07038757147223486,0.9296124285277652,134143.0,124701.0
Gad1-F-100171,dense,True,1,0.4706660583941606,0.14425182481751825,0.6149178832116788,0.7474680656934307,0.30648444315207907,0.32641423357664234,0.28590861052466837,1.5715788149122474,4.814242995436894,3.497621139023791,3.0,3.0,1.0,0.4706660583941606,0.27680200729927007,0.7474680656934307,0.7896897810218979,0.5881070078511195,0.19386405109489052,0.3241502496220497,1.3796310244789072,3.973435256639562,3.0849891405790144,2.0,2.0,2.0,dfp_5,fb_6,1.0,0.15216697080291972,0.8478330291970803,43840.0,37169.0
Gad1-F-100784,dense,True,1,0.2578942828689945,0.16518595770373798,0.4230802405727325,0.5356742388005866,0.6405181063577488,0.09270832516525654,0.16542441512207545,2.024375008444274,7.571377418632179,6.045056887534086,5.0,3.0,1.0,0.27777995593159205,0.2578942828689945,0.5356742388005866,0.5977620776450847,0.9284121383203952,0.01988567306259753,0.20265453780917708,1.8314966788669478,6.243223770531624,4.934505838411656,4.0,2.0,2.0,fb_6,dfp_5,0.18932956951305574,0.22036556391095358,0.7796344360890464,127529.0,99426.0
Gad1-F-200186,dense,True,5,0.407574931880109,0.17463215258855586,0.5822070844686649,0.6609264305177112,0.42846637250969377,0.23294277929155316,0.2783704697488288,1.5271781677679617,4.605163471470927,3.5923350666552065,3.0,2.0,1.0,0.40915531335149863,0.19446866485013625,0.6036239782016348,0.6836784741144414,0.475293020777837,0.21468664850136238,0.28684467179947876,1.4392737839625453,4.217631792711481,3.4862073390683674,3.0,2.0,1.0,al_3,ms_12,0.9922749067661162,0.2734059945504087,0.7265940054495913,36700.0,26666.0
Gad1-F-200219,dense,True,1,0.5684342494466101,0.08909087347450488,0.657525122921115,0.7067719250132226,0.1567303053277276,0.47934337597210525,0.3590879873391087,1.518027773395282,4.563216617367955,2.7848327854410764,2.0,1.0,1.0,0.5684342494466101,0.08909087347450488,0.657525122921115,0.7067719250132226,0.1567303053277276,0.47934337597210525,0.35908798733910874,1.518027773395282,4.563216617367955,2.784832785441076,2.0,1.0,1.0,dfp_5,fspp_19,1.0,0.147877529432506,0.852122470567494,51049.0,43500.0
Gad1-F-200247,dense,True,1,0.3712506507548757,0.16720061938515343,0.5384512701400291,0.636444942800315,0.45037124930334566,0.20405003136972225,0.19910124992251166,1.9279806564036992,6.875611990588176,5.022570176677397,5.0,2.0,1.0,0.3712506507548757,0.16720061938515343,0.5384512701400291,0.636444942800315,0.45037124930334566,0.20405003136972225,0.19910124992251166,1.9279806564036994,6.875611990588177,5.022570176677397,5.0,2.0,1.0,dlp_23,spp_20,1.0,0.09615821019048763,0.9038417898095124,149826.0,135419.0
Gad1-F-200719,dense,True,2,0.6872649627127286,0.12464146854484033,0.811906431257569,0.8579100006373893,0.18135868305124045,0.5626234941678883,0.5068600480974768,0.9900477568703837,2.6913630003541535,1.9729311942291514,2.0,2.0,1.0,0.7332685320925489,0.12464146854484033,0.8579100006373893,0.8695264197845625,0.16998065932155507,0.6086270635477086,0.5701571754407034,0.8104071856853778,2.2488234890077656,1.753902332680544,2.0,2.0,1.0,al_3,ms_12,0.8745246322011431,0.1296290394543948,0.8703709605456053,62756.0,54621.0
Gad1-F-400220,dense,True,1,0.7914115694913315,0.04497339360302111,0.8363849630943526,0.8626194426961149,0.0568268083721939,0.7464381758883104,0.6398145362933108,0.8099815658612557,2.2478665488106975,1.5629529235040216,1.0,1.0,1.0,0.7914115694913315,0.04497339360302111,0.8363849630943526,0.8626194426961149,0.0568268083721939,0.7464381758883104,0.6398145362933108,0.8099815658612557,2.2478665488106975,1.5629529235040216,1.0,1.0,1.0,dfp_5,fspp_19,1.0,0.10159066201293128,0.8984093379870687,34954.0,31403.0
Gad1-F-500004,dense,True,5,0.29987136118919433,0.22722106137228343,0.5270924225614777,0.7369846790495701,0.7577284488628626,0.0726502998169109,0.2072396315912901,1.7438330186709523,5.719223352687675,4.825331874610551,5.0,3.0,3.0,0.29987136118919433,0.22722106137228343,0.5270924225614777,0.7369846790495701,0.7577284488628626,0.0726502998169109,0.20723963159129005,1.7438330186709525,5.719223352687676,4.825331874610553,5.0,3.0,3.0,dlp_23,lh_25,1.0,0.11997440836356459,0.8800255916364355,146923.0,129296.0
Gad1-F-500321,dense,True,1,0.37158912994855736,0.3123462312681727,0.68393536121673,0.7729534779691344,0.8405688059589196,0.05924289868038468,0.2664828392550746,1.5089623146449713,4.522035908391302,3.7525868562320834,4.0,2.0,2.0,0.37158912994855736,0.3123462312681727,0.68393536121673,0.7729534779691344,0.8405688059589196,0.05924289868038468,0.2664828392550746,1.5089623146449715,4.522035908391303,3.7525868562320834,4.0,2.0,2.0,spp_20,lh_25,1.0,0.13099698054126593,0.869003019458734,71536.0,62165.0
Gad1-F-500457,dense,True,1,0.18611251261352169,0.16101160443995963,0.34712411705348134,0.5009775479313825,0.865130464249407,0.02510090817356206,0.2407553629264032,1.656013114078262,5.238384315644042,4.1535938715753185,4.0,3.0,0.0,0.34712411705348134,0.15738521695257315,0.5045093340060545,0.5597565590312815,0.45339752906976744,0.1897389001009082,0.3017746662603441,1.3994116683564553,4.052814866067205,3.3137307793003727,3.0,2.0,1.0,eb_8,mb_4,0.07231104651162791,0.39070383451059537,0.6092961654894047,31712.0,19322.0
Gad1-F-600059,dense,True,5,0.3481693683622135,0.1758664058133035,0.524035774175517,0.6355855226383454,0.5051173991571343,0.17230296254891,0.20421517528903885,1.7963737213026474,6.027749484771141,4.896795738047556,5.0,4.0,1.0,0.3481693683622135,0.2465238960313024,0.5946932643935159,0.7062430128563443,0.7080573951434879,0.10164547233091112,0.22916255397363428,1.640458097116146,5.157531621517896,4.363714676155392,4.0,4.0,2.0,dlp_23,mb_4,1.0,0.15392677473448854,0.8460732252655114,57248.0,48436.0
Gad1-F-600604,dense,True,1,0.49137607158714436,0.1560048726618623,0.6473809442490066,0.7477031319375661,0.3174856931025694,0.33537119892528205,0.2943863529367301,1.6288131009086904,5.097820527838582,3.3968965953218673,3.0,3.0,1.0,0.49137607158714436,0.1560048726618623,0.6473809442490066,0.7477031319375661,0.3174856931025694,0.33537119892528205,0.29438635293673004,1.6288131009086904,5.097820527838582,3.3968965953218677,3.0,3.0,1.0,al_3,vlp_21,1.0,0.1247993442398989,0.8752006557601011,87837.0,76875.0
Gad1-F-700172,dense,True,1,0.729248947351242,0.04070241864412312,0.7699513659953652,0.7991970493194505,0.05581416166860621,0.6885465287071189,0.5627501315702745,0.9078380943217226,2.478957463869965,1.7769875898733984,1.0,1.0,1.0,0.7699513659953651,0.05506413813362927,0.8250155041289944,0.8313803570845709,0.07151638475560643,0.7148872278617358,0.6236434586956243,0.7056445015889903,2.025151477752013,1.603480299611481,2.0,1.0,1.0,al_3,ms_12,0.8942727542498622,0.1665633058067043,0.8334366941932957,30637.0,25534.0
Gad1-F-700193,dense,True,1,0.5128840667820231,0.07463873170275452,0.5875227984847776,0.6392227470420427,0.1455274915656059,0.4382453350792686,0.39368525005000254,1.11141911954759,3.0386675686411,2.5401002447335492,3.0,1.0,1.0,0.5128840667820231,0.07463873170275452,0.5875227984847776,0.6392227470420427,0.1455274915656059,0.4382453350792686,0.39368525005000254,1.1114191195475898,3.0386675686410993,2.5401002447335492,3.0,1.0,1.0,al_3,lh_25,1.0,0.3497170649581443,0.6502829350418556,42766.0,27810.0
Gad1-F-700607,dense,True,3,0.44709304674558603,0.18219465880166458,0.6292877055472506,0.7543533594602237,0.407509488523405,0.26489838794392145,0.2689844954571825,1.6350576951440283,5.12975395038254,3.7176863978733747,4.0,3.0,1.0,0.4479616985172316,0.3072603127146378,0.7552220112318694,0.8300270696133489,0.6859075535512965,0.14070138580259384,0.31549098317451996,1.4050800660088467,4.075853065491212,3.1696626950724314,3.0,2.0,2.0,dfp_5,fb_6,0.9961217587373168,0.11936891438729748,0.8806310856127025,49502.0,43593.0
Gad1-F-800371,dense,True,1,0.7042263724481664,0.0650980164882134,0.7693243889363799,0.8169489560845564,0.09243904948050613,0.639128355959953,0.5329684237326973,0.91902614335468,2.5068478903302953,1.8762837636729035,2.0,1.0,1.0,0.7042263724481664,0.0650980164882134,0.7693243889363799,0.8169489560845564,0.09243904948050613,0.639128355959953,0.5329684237326973,0.91902614335468,2.5068478903302953,1.8762837636729035,2.0,1.0,1.0,dfp_5,mb_4,1.0,0.174575116996769,0.825424883003231,69019.0,56970.0
Gad1-F-900395,dense,True,1,0.6407279075303515,0.09016848731716348,0.7308963948475149,0.8142848326147714,0.14072820343461032,0.550559420213188,0.43899210111584597,1.2728193014583327,3.5709058441344586,2.2779453148659483,3.0,1.0,1.0,0.730896394847515,0.08629795187839995,0.817194346725915,0.843618024880754,0.11807138807464505,0.6445984429691151,0.5551225913105148,0.9797370434091743,2.6637556977100316,1.801403898261884,2.0,1.0,1.0,dfp_5,idlp_24,0.7532660225093186,0.10982093263152326,0.8901790673684767,113421.0,100965.0
