em_id,n_false,n_high_false,em_density,em_cable,method
331662710,2,1,0.007491428241166,11965.449741337308,CNN
1131827390,1,1,0.0052813893208387,11743.51799514048,CNN
1727979406,2,1,0.002763081509708,5685.248298818399,CNN
1013346945,1,1,0.0018605933288392,2810.3203159501354,CNN
5813054716,1,0,0.0656279066536399,11144.33537404038,CNN
1671620613,1,0,0.0584748301712367,25398.22184253619,CNN
1704347707,2,0,0.0415249782413878,20383.22183881129,CNN
1640572741,1,0,0.0400679388603649,21125.8603748839,CNN
1640922516,6,0,0.0339291077626755,19619.721202161683,CNN
1667251683,1,0,0.0320342143948245,18283.55237225388,CNN
1639886198,1,0,0.0297841940948102,10715.786585465834,CNN
1672320134,1,0,0.0294518703052594,13972.588216282027,CNN
5813027276,2,0,0.0288889589258127,28337.45732385649,CNN
1578826464,1,0,0.0274386051492188,11325.721561345756,CNN
5813054726,1,0,0.0272099393133129,13682.187727310707,CNN
5813057579,3,0,0.0269443117810214,37464.43702906006,CNN
5813039309,7,0,0.0268565280090131,10247.377301463506,CNN
859265651,3,0,0.0266176754671112,21780.23745041948,CNN
950880008,2,0,0.0264839921877304,29132.309570972757,CNN
5813068669,2,0,0.0255439437891369,16157.7739399417,CNN
1640555311,3,0,0.0252402226461247,9681.426597203994,CNN
5813069085,1,0,0.0251274905113265,12297.307383434854,CNN
5813009312,1,0,0.0244545475804164,6069.478369283522,CNN
1702306037,3,0,0.0242560394618248,10835.403772351425,CNN
5813078542,1,0,0.0227718930423402,7249.4274053545405,CNN
330268940,1,0,0.0222252385627405,19391.90275067669,CNN
1762359683,7,0,0.0218124189258447,9249.88990811477,CNN
1640887603,1,0,0.0207472586556197,10546.319568354296,CNN
1640922754,1,0,0.0205302439147423,8737.88173763898,CNN
1669924220,1,0,0.0200508943047957,9801.074860781997,CNN
1916800213,3,0,0.0199215950928022,8419.891925732834,CNN
5813020785,1,0,0.019896021239276,8578.432501530393,CNN
5813098368,2,0,0.0191315952296854,16488.051985101647,CNN
510049477,1,0,0.0188060090518777,10639.659432326658,CNN
1135441187,1,0,0.0177640886697701,17827.401585743435,CNN
298254384,1,0,0.0172205125450256,8090.7017315683,CNN
424716408,1,0,0.0163217790364334,7158.172978643741,CNN
328870472,1,0,0.0157092068075062,8609.940499463744,CNN
947573616,4,0,0.0156777002888211,27778.4436125121,CNN
1670597533,1,0,0.0155216331438215,10207.953536092078,CNN
859839499,1,0,0.0152641620201028,25849.840077688816,CNN
5813033371,2,0,0.0148149624710751,10637.094953231044,CNN
550404663,2,0,0.0148031476115297,8335.871476094011,CNN
360259229,3,0,0.0144361022727562,6071.278200472112,CNN
604289581,2,0,0.0140319776362921,8534.214733586095,CNN
421641859,1,0,0.0139169057525503,10268.251057093128,CNN
672283773,1,0,0.0134782661841587,10487.301669091765,CNN
298612190,2,0,0.0118512678613709,5566.598874908388,CNN
297917475,1,0,0.0115776729246933,4427.4390875942645,CNN
387870860,1,0,0.0113339391827105,7023.8537687162925,CNN
297925608,1,0,0.0112783975449004,8173.557879517053,CNN
328265389,1,0,0.0111726718522152,7926.278115157926,CNN
393766777,1,0,0.0111608587915755,18413.17726914873,CNN
857793013,2,0,0.0111469740916529,9099.022781085348,CNN
5813021602,4,0,0.0107103393802287,11254.008839285862,CNN
1107561814,1,0,0.0105064770541019,7585.331998523401,CNN
297251714,4,0,0.0103776723772329,14483.418914572874,CNN
543692985,2,0,0.0102024433851842,18448.17898808871,CNN
487143497,3,0,0.0100406176418543,9583.67973663328,CNN
327499164,1,0,0.0099348161433268,14735.255024068265,CNN
297580589,1,0,0.0096492247047832,7078.193694430393,CNN
296139882,2,0,0.0092306915524376,15589.799006158,CNN
331774819,2,0,0.0091654392986334,5892.656861420843,CNN
5813055949,1,0,0.0089795250863707,9141.90049381597,CNN
422751191,1,0,0.0089705383274206,17003.103470383438,CNN
330640044,2,0,0.0088201700440544,15619.008211704546,CNN
1036637638,1,0,0.0087874240361337,24351.895959769685,CNN
5813057853,1,0,0.00876409358796,5713.31751297159,CNN
423101189,1,0,0.0086651930964115,22928.422784556373,CNN
5813021533,1,0,0.0083341325026713,8918.24405577985,CNN
5813059915,2,0,0.0080482783213203,9107.495956391747,CNN
611629428,1,0,0.0080065116939735,7994.280794209309,CNN
5813083780,1,0,0.007949119261035,16321.727476023025,CNN
2040301572,1,0,0.0078478480378787,1612.53272507649,CNN
298214577,1,0,0.0077645721867061,3619.4238332701657,CNN
421646999,1,0,0.0074931054668523,4316.885753649314,CNN
361005850,4,0,0.0074370110317837,7991.507333576695,CNN
361312808,11,0,0.0073725653804609,17072.260396469414,CNN
797442049,4,0,0.0072627900877114,12288.9553293062,CNN
915481348,1,0,0.0071817653659949,5361.389389224608,CNN
548712377,2,0,0.0071815574257366,15553.44421377617,CNN
5813009620,1,0,0.0071545708292606,10697.775254087275,CNN
5813023322,1,0,0.0070861497983291,9970.790216799802,CNN
5812987694,2,0,0.0070221367288957,10819.703469771372,CNN
5813055298,1,0,0.0068585911156019,7272.115957802767,CNN
