rule,target,coverage_of_target,false_intake_from_other,margin
share_2 >= 0.32,projection,0.6796116504854369,0.12244897959183673,0.5571626708936002
share_2 <= 0.32,dense,0.8775510204081632,0.32038834951456313,0.5571626708936002
share_2 >= 0.34,projection,0.5825242718446602,0.08163265306122448,0.5008916187834357
share_2 <= 0.34,dense,0.9183673469387755,0.4174757281553398,0.5008916187834358
share_2 >= 0.36,projection,0.5242718446601942,0.027210884353741496,0.4970609603064527
share_2 <= 0.36,dense,0.9727891156462585,0.47572815533980584,0.49706096030645264
share_2 >= 0.38,projection,0.44660194174757284,0.027210884353741496,0.41939105739383137
share_2 <= 0.38,dense,0.9727891156462585,0.5533980582524272,0.4193910573938313
share_2 >= 0.40,projection,0.39805825242718446,0.02040816326530612,0.3776500891618783
share_2 <= 0.40,dense,0.9795918367346939,0.6019417475728155,0.37765008916187837
share_2 >= 0.42,projection,0.2912621359223301,0.013605442176870748,0.2776566937454593
share_2 <= 0.42,dense,0.9863945578231292,0.7087378640776699,0.2776566937454593
share_2 >= 0.44,projection,0.1650485436893204,0.006802721088435374,0.15824582260088502
share_2 <= 0.44,dense,0.9931972789115646,0.8349514563106796,0.15824582260088504
share_2_total >= 0.10,projection,0.912621359223301,0.7006802721088435,0.21194108711445747
share_2_total <= 0.10,dense,0.29931972789115646,0.08737864077669903,0.21194108711445742
share_2_total >= 0.12,projection,0.9029126213592233,0.6326530612244898,0.2702595601347335
share_2_total <= 0.12,dense,0.3673469387755102,0.0970873786407767,0.2702595601347335
share_2_total >= 0.14,projection,0.8737864077669902,0.5238095238095238,0.3499768839574664
share_2_total <= 0.14,dense,0.47619047619047616,0.1262135922330097,0.34997688395746646
share_2_total >= 0.16,projection,0.8640776699029126,0.42857142857142855,0.435506241331484
share_2_total <= 0.16,dense,0.5714285714285714,0.13592233009708737,0.435506241331484
share_2_total >= 0.18,projection,0.7766990291262136,0.35374149659863946,0.4229575325275741
share_2_total <= 0.18,dense,0.6462585034013606,0.22330097087378642,0.4229575325275742
share_2_total >= 0.20,projection,0.7378640776699029,0.29931972789115646,0.43854434977874646
share_2_total <= 0.20,dense,0.7006802721088435,0.2621359223300971,0.43854434977874646
share_2_total >= 0.22,projection,0.6893203883495146,0.2653061224489796,0.424014265900535
