em_id,n_high_false,em_cable_length_um,em_cable_per_hull_um2,em_revisit_r16um,em_fill_ratio,em_hull_volume_um3,group,is_true_partner
510987433,3,5397.805262981585,0.0061620888091155,2.517633051763799,0.0269050293550261,875970.0533683766,dense,False
542376096,1,8257.60674979924,0.0050483350111814,2.3893538049187617,0.0220479322108279,1635708.9479025474,dense,False
550404663,2,8335.871476094011,0.0148031476115297,3.8028610748604064,0.0610319603141777,563114.7979367182,dense,False
579268807,1,8709.247014688182,0.0034570917122179,2.0935689939154285,0.0154395711835537,2519240.9515513047,dense,True
5813009312,1,6069.478369283522,0.0244545475804164,3.831741394749698,0.1043698588216381,248194.26118289956,dense,False
5813011298,1,6388.226198986528,0.0056270715394623,2.872403866450777,0.0238675221703108,1135266.5687980405,dense,True
5813020785,1,8578.432501530393,0.019896021239276,3.8024966762102808,0.0847382120065068,431163.21591957234,dense,True
5813021112,2,13076.178321190964,0.0054625534536694,2.208813905606582,0.0247507611989747,2393784.9637713097,dense,False
5813021533,1,8918.24405577985,0.0083341325026713,2.533592061301094,0.0368044956419961,1070086.6650393785,dense,False
5813021583,1,11941.985358768654,0.0055672555347458,2.221351443223336,0.0255473101112169,2145039.9185446617,dense,False
5813021602,3,11254.008839285862,0.0107103393802287,3.6825945154731214,0.0452852664634252,1050761.1794319763,dense,True
5813023322,1,9970.790216799802,0.0070861497983291,2.564503656584311,0.0308041860454827,1407081.4900287287,dense,False
5813027276,2,28337.45732385649,0.0288889589258127,6.258272377176787,0.1161207916391124,980909.6062141748,dense,True
5813027592,1,10912.170779919355,0.0158088778785255,4.262566710905999,0.0624000486903014,690255.871654383,dense,True
5813033371,2,10637.094953231044,0.0148149624710751,3.714069466910281,0.0616047354001993,717996.7532148006,dense,False
5813039309,1,10247.377301463506,0.0268565280090131,4.926623702626686,0.0907432602926864,381560.0176621663,dense,False
5813049380,1,7939.504506242236,0.0059667901423478,2.989271274940601,0.0252214073333866,1330615.6772455429,dense,True
5813054716,1,11144.33537404038,0.0656279066536399,10.883140013711309,0.2053578148910291,169810.92255244558,dense,False
5813057579,1,37464.43702906006,0.0269443117810214,7.226936155297079,0.1055838773415953,1390439.5604362236,dense,False
5813057853,1,5713.31751297159,0.00876409358796,2.3187165231215867,0.0397238499415675,651900.5594395344,dense,False
5813059915,1,9107.495956391747,0.0080482783213203,2.1725896842537566,0.0355317396014366,1131607.9778535322,dense,False
5813070613,1,4487.2162556765325,0.0064012428181141,1.9078300406787976,0.0292043519869705,700991.4141951702,dense,False
5813078542,1,7249.4274053545405,0.0227718930423402,3.485301637189683,0.0955427042781659,318349.79164338834,dense,False
5813098368,3,16488.051985101647,0.0191315952296854,4.684105677585695,0.0777978622410342,861823.1667121018,dense,False
5813132949,1,5464.137951266688,0.0166828700898591,2.869820352556033,0.0758648408385668,327529.8507891708,dense,False
604289581,2,8534.214733586095,0.0140319776362921,3.8651334844139926,0.0572577096382606,608197.5723445631,dense,False
